time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,curriculum/obs_quantity,train/value_loss,train/clip_fraction,train/ent_coef,curriculum/grid_size,train/approx_kl,train/loss,train/entropy_loss,train/clip_range,curriculum/stage_timesteps,curriculum/max_steps,train/policy_gradient_loss,train/learning_rate,curriculum/stage,train/explained_variance,eval/stage_timesteps,eval/std_ep_length,eval/mean_ep_length,eval/stage,eval/deterministic,eval/std_reward,eval/full_coverage_rate,eval/mean_reward
6,30,506880,1009,6.444244384765625,257.04,490,,0.4620160707831383,0.070390625,,,0.0084905615,0.15558487176895142,-0.3122274202108383,0.2,,,-0.00280979051720351,0.0001,,0.36331605911254883,,,,,,,,
7,35,512000,1008,6.499142646789551,256.04,495,,0.460177589058876,0.0626953125,,,0.0064614997,0.20065629482269287,-0.32438649743795395,0.2,,,-0.003210631958208978,0.0001,,0.40762364864349365,,,,,,,,
8,40,517120,1009,6.52919864654541,256.13,500,,0.4224604043364525,0.0631640625,,,0.0075549213,0.1693490743637085,-0.3244166561961174,0.2,,,-0.004625327652320266,0.0001,,0.4347879886627197,,,,,,,,
9,45,522240,1007,6.435710906982422,254.9,505,,0.44775879293680193,0.0715625,,,0.008576393,0.2538630962371826,-0.31344955176115036,0.2,,,-0.0017809862736612558,0.0001,,0.3918800950050354,,,,,,,,
10,50,527360,1008,6.3708815574646,260.99,510,,0.39712335899472234,0.0722265625,,,0.008240918,0.15070322155952454,-0.2951240274310112,0.2,,,-0.0015349031798541546,0.0001,,0.3479068875312805,,,,,,,,
,,,,,,515,,0.5047015982866287,0.050546875,,,0.0046618683,0.1988256275653839,-0.30221687704324723,0.2,,,-0.0008824928570538759,0.0001,,0.3277856707572937,204800,97.60980022518231,264.13,3,0,2.4813535523569636,0.85,6.159008226841689
1,4,532480,1227,6.364536762237549,256.18,,15,,,0.002,11,,,,,204800,440,,,3,,,,,,,,,
2,9,537600,1083,6.282165050506592,258.33,520,,0.39107658237218856,0.05859375,,,0.008035248,0.19881696999073029,-0.30638930171728135,0.2,,,-0.0013521728292107582,0.0001,,0.42362821102142334,,,,,,,,
3,14,542720,1044,6.275008678436279,257.02,525,,0.463567670583725,0.0575390625,,,0.005221855,0.22105398774147034,-0.29023180216550826,0.2,,,-0.002245668130926788,0.0001,,0.3674306273460388,,,,,,,,
4,19,547840,1028,6.202122688293457,260.46,530,,0.4991396161913872,0.0694140625,,,0.0077566253,0.26253634691238403,-0.29961554080247876,0.2,,,-0.003415687340311706,0.0001,,0.29411250352859497,,,,,,,,
5,25,552960,1018,6.060220241546631,262.85,535,,0.44407557547092436,0.0651171875,,,0.006012386,0.16757145524024963,-0.2972506082057953,0.2,,,-0.0015026183007284999,0.0001,,0.37206852436065674,,,,,,,,
6,30,558080,1008,6.084817886352539,266.03,540,,0.434739780575037,0.063046875,,,0.0070571727,0.14890973269939423,-0.30682085409760473,0.2,,,-0.0016762584121897816,0.0001,,0.44968992471694946,,,,,,,,
