time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,curriculum/stage_timesteps,curriculum/obs_quantity,curriculum/preferred_eval_mode,train/ent_coef,curriculum/max_steps,train/stage_learning_rate,curriculum/stage,curriculum/grid_size,plasticity/effective_rank_99_normalized_mean,plasticity/effective_rank_99_mean,plasticity/low_weight_units,plasticity/weight_rms,plasticity/total_weight_units,plasticity/weight_abs_mean,plasticity/low_weight_unit_ratio,plasticity/weight_max_abs,eval/full_coverage_rate,eval/mean_reward,eval/std_reward,eval/mean_ep_length,eval/deterministic,eval/stage_timesteps,eval/std_ep_length,eval/stage,eval/promotion_min_mean_reward,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_max_mean_length,eval/deterministic_promotion_floor,eval/promotion_passed,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/deterministic_full_coverage_rate,eval/promotion_full_coverage_rate,eval/coverage_promotion_passed
3,291840,64.16,79,194,3.238238573074341,7e-05,-1.0113854413852095,0.08,-0.0020163953755400143,0.3701178729534149,1.5947786628268659,0.0011249179,448,0.122314453125,0.8089292645454407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,296960,65.03,119,171,3.2624988555908203,7e-05,-0.9733821161091327,0.08,-0.0025320457891211843,0.42553529143333435,1.7167169967200606,0.0019667405,456,0.141796875,0.7485942840576172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,302080,63.96,156,164,3.3933663368225098,7e-05,-0.9844230473041534,0.08,-0.0014380369873833842,1.044772744178772,1.9875495942309498,0.0020813777,464,0.15732421875,0.8201848268508911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,-0.9756874315440655,0.08,0.0005655678134644404,0.8288736343383789,1.9868346864357591,0.001573066,472,0.1986083984375,0.804072380065918,,,,,,,,,0.8699001736111112,119.91666666666667,28,0.019542792646167012,1925,0.007826587874865986,0.014545454545454545,0.8835003972053528,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,4.441866594534368,2.93182219316621,56.26,0,281600,24.90647305420822,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,4.3472325527668,5.967669113090612,76.86,1,281600,73.2715524606924,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281600,,1,6.75,0.25,0,45.0,0.6649999999999999,0,0,0,0.99,0.99,0.74,0.99,1
1,307200,60.48,1,2666,3.9016518592834473,,,,,,,,,,,281600,3,1,0.0010000000000000009,200,7e-05,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,312320,54.77,37,269,4.543056488037109,7e-05,-0.967740161716938,0.08,-0.002298965404042974,0.39820578694343567,1.6993476099800318,0.0013970399,480,0.1171142578125,0.826263427734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,317440,55.82,73,207,4.338345527648926,7e-05,-0.9308592557907105,0.08,-0.0018174675467889756,0.15762042999267578,1.9604141943156719,0.001921043,488,0.1307861328125,0.6880046129226685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
