time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/approx_kl,train/value_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates
8,552960,2,1243,0.1984375,0.01878995,0.0698122260067612,0.7069251537322998,-0.948679273724556,0.0003,0.2,-0.07125529646873474,-0.02307579810032621,1070
2,558080,1,1742,0.2041015625,0.01895845,0.07624864246696234,0.7074936628341675,-0.9459045141935348,0.0003,0.2,-0.07287120074033737,-0.025742152985185385,1080
7,563200,2,1322,0.23330078125,0.021950746,0.08452695968560875,0.7272447347640991,-0.9494394370913506,0.0003,0.2,-0.059451617300510406,-0.02895922420080751,1090
2,568320,1,1885,0.1930078125,0.018974055,0.06602834017947316,0.6657010316848755,-0.9650841787457466,0.0003,0.2,-0.0797988548874855,-0.02662787837907672,1100
8,573440,2,1222,0.2023828125,0.019592233,0.08513808515854179,0.5700074434280396,-0.9573080065846443,0.0003,0.2,-0.08081753551959991,-0.030365084032528102,1110
2,578560,1,1742,0.19609375,0.018812576,0.05932848460040987,0.6474840641021729,-0.9154860535264016,0.0003,0.2,-0.05464944243431091,-0.025306618122849612,1120
8,583680,2,1273,0.1974609375,0.019424643,0.06446500326506793,0.5233508348464966,-0.9218525749444961,0.0003,0.2,-0.0783592164516449,-0.030634910797234623,1130
2,588800,1,1970,0.224453125,0.019204881,0.0639967074804008,0.6938141584396362,-0.925206860601902,0.0003,0.2,-0.06706088781356812,-0.028313957189675422,1140
7,593920,2,1373,0.228515625,0.023005193,0.0822211325354874,0.5584139823913574,-0.9028564730286598,0.0003,0.2,-0.07478557527065277,-0.03055972496746108,1150
2,599040,1,2042,0.2275,0.021289663,0.06636667127721012,0.61236572265625,-0.9320752909779548,0.0003,0.2,-0.06375262886285782,-0.028939117130357773,1160
7,604160,2,1388,0.22134765625,0.024037521,0.08563590051606297,0.5837034583091736,-0.935039644241333,0.0003,0.2,-0.07822302728891373,-0.03045287520159036,1170
2,609280,1,2084,0.22611328125,0.02632754,0.07716698686592281,0.6200454235076904,-0.9397760140895843,0.0003,0.2,-0.0745014026761055,-0.02680722435703501,1180
7,614400,2,1419,0.211953125,0.020167347,0.05198774786200375,0.7372441291809082,-0.962353204190731,0.0003,0.2,-0.0817674845457077,-0.03127949476707727,1190
2,619520,1,1976,0.2096875,0.019895406,0.07004281401634216,0.6462472677230835,-0.9670193204283715,0.0003,0.2,-0.08113160729408264,-0.030596409265417606,1200
7,624640,2,1417,0.2057421875,0.02039359,0.06102914125658572,0.7060652375221252,-0.9548284927010536,0.0003,0.2,-0.07078339159488678,-0.030144091213587673,1210
2,629760,1,1971,0.20935546875,0.020331848,0.06775551524944604,0.6394237279891968,-0.9448476827144623,0.0003,0.2,-0.07393650710582733,-0.029422321021556855,1220
7,634880,2,1374,0.24140625,0.022365468,0.05090779433958233,0.6695570945739746,-0.9913233402371406,0.0003,0.2,-0.09900017082691193,-0.03418901594355703,1230
