time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss
22,384000,1145,5,0.020540822,0.206328125,-0.02951514720916748,-0.07952826470136642,0.10252390943467617,740,0.0003,0.2,-0.028893206615466623,-0.9037488695979118
26,389120,1157,6,0.02321662,0.2226171875,0.16588056087493896,-0.054050568491220474,0.09871717777103185,750,0.0003,0.2,-0.025655907799955458,-0.9226106002926826
30,394240,1157,7,0.017490705,0.18544921875,0.301588773727417,-0.06784150004386902,0.08686946023255587,760,0.0003,0.2,-0.026148527029436083,-0.9181699660420418
35,399360,1163,8,0.021453556,0.19978515625,0.04366582632064819,-0.062399156391620636,0.0951697783358395,770,0.0003,0.2,-0.030134268277324735,-0.9309431958198547
39,404480,1171,9,0.018985245,0.1902734375,0.13473910093307495,-0.05898796021938324,0.12065595677122473,780,0.0003,0.2,-0.02873496473184787,-0.9135811212658882
43,409600,1179,10,0.018794365,0.2053125,0.28083789348602295,-0.053367748856544495,0.11363509144634008,790,0.0003,0.2,-0.024909309432841836,-0.8885003808140755
2,414720,2240,1,0.0205503,0.1973046875,0.26245564222335815,-0.0625409334897995,0.0944131082855165,800,0.0003,0.2,-0.028405619417317212,-0.8590006956458092
6,419840,1582,2,0.022695376,0.199765625,0.49836617708206177,-0.06371716409921646,0.08007949575781823,810,0.0003,0.2,-0.029598735354375093,-0.8711739692091942
10,424960,1449,3,0.020527283,0.19611328125,0.3757733106613159,-0.06446458399295807,0.08580887004733086,820,0.0003,0.2,-0.029749572302680462,-0.868943549990654
14,430080,1370,4,0.021795947,0.19953125,0.4576255679130554,-0.04356271028518677,0.07970000576227904,830,0.0003,0.2,-0.027275351500138642,-0.8730459696054459
19,435200,1327,5,0.022464316,0.1997265625,0.5954869985580444,-0.0706193819642067,0.07397296364419162,840,0.0003,0.2,-0.03225625118240714,-0.8459591260552406
23,440320,1294,6,0.02504843,0.20814453125,0.43282902240753174,-0.06024106219410896,0.09969021266326308,850,0.0003,0.2,-0.0313745566108264,-0.8424970304965973
28,445440,1271,7,0.021814678,0.20634765625,0.40913957357406616,-0.06574103981256485,0.08247796962037683,860,0.0003,0.2,-0.028623587910551578,-0.8278745678067208
32,450560,1267,8,0.02485571,0.2394140625,0.3242908716201782,-0.07310280948877335,0.06836419245228172,870,0.0003,0.2,-0.03104465324897319,-0.8703449273109436
36,455680,1262,9,0.02328155,0.20361328125,0.3565800189971924,-0.07220491021871567,0.05915251966565847,880,0.0003,0.2,-0.030574510004371405,-0.8585115653276444
40,460800,1260,10,0.020756569,0.19818359375,0.32848697900772095,-0.07722654193639755,0.0652757766097784,890,0.0003,0.2,-0.03267457929905504,-0.8782627388834954
2,465920,2293,1,0.02037416,0.2152734375,0.13717448711395264,-0.06195180118083954,0.0864266748353839,900,0.0003,0.2,-0.03051017879974097,-0.8510682061314583
6,471040,1623,2,0.019773662,0.18818359375,0.04571026563644409,-0.07134924829006195,0.07616517946124077,910,0.0003,0.2,-0.029497886775061488,-0.8447671899199486
10,476160,1485,3,0.020722765,0.19138671875,0.242983877658844,-0.07545885443687439,0.07808590796776116,920,0.0003,0.2,-0.031473048115149144,-0.8596135425567627
14,481280,1425,4,0.01913057,0.17546875,0.32184988260269165,-0.05368791148066521,0.08294624298810958,930,0.0003,0.2,-0.028594602500088512,-0.8444854590296745
18,486400,1352,5,0.019762157,0.1792578125,0.2868083715438843,-0.07947757840156555,0.08214506039395929,940,0.0003,0.2,-0.02910412092227489,-0.8288414618372917
23,491520,1319,6,0.021992171,0.203828125,0.1689307689666748,-0.062085337936878204,0.09912862971425057,950,0.0003,0.2,-0.03387506612576544,-0.8065470346808433
27,496640,1303,7,0.018788224,0.18556640625,0.17144185304641724,-0.0512939989566803,0.08963118629530072,960,0.0003,0.2,-0.03023518650792539,-0.8111008739471436
32,501760,1260,8,0.021354564,0.2060546875,0.41618263721466064,-0.06214950978755951,0.07753784198313951,970,0.0003,0.2,-0.029481939983088522,-0.8077594318985939
37,506880,1234,9,0.021072721,0.18466796875,0.057980358600616455,-0.03702159225940704,0.09918341754004359,980,0.0003,0.2,-0.030013475695159286,-0.8416238242387771
41,512000,1226,10,0.01855866,0.1937109375,0.20661932229995728,-0.07464119046926498,0.09382875464856624,990,0.0003,0.2,-0.034585498867090794,-0.850283031463623
2,517120,2157,1,0.024571111,0.21791015625,-0.11120295524597168,-0.07795663177967072,0.09017292635515332,1000,0.0003,0.2,-0.03563315971056,-0.8464970988035202
7,522240,1461,2,0.022016892,0.2078515625,-0.12527787685394287,-0.08454263210296631,0.09500071927905082,1010,0.0003,0.2,-0.033697091138456016,-0.8535353422164917
11,527360,1319,3,0.021598447,0.204296875,0.20703810453414917,-0.08023776859045029,0.07339819928631186,1020,0.0003,0.2,-0.032213808638043705,-0.8676572698354721
16,532480,1257,4,0.0231776,0.216875,0.1445189118385315,-0.08008377999067307,0.0756871546432376,1030,0.0003,0.2,-0.03553190334700048,-0.8690910169482231
20,537600,1232,5,0.021203794,0.20447265625,0.12061411142349243,-0.08275622129440308,0.0810712381079793,1040,0.0003,0.2,-0.03268072955776006,-0.8723423492908478
25,542720,1206,6,0.022940163,0.2151953125,-0.03572559356689453,-0.08992265164852142,0.08189473621547222,1050,0.0003,0.2,-0.03229490750934929,-0.8706846126914024
30,547840,1189,7,0.023517054,0.22166015625,0.10503953695297241,-0.06886045634746552,0.09602341289632023,1060,0.0003,0.2,-0.03256082455161959,-0.8874580052495002
34,552960,1185,8,0.02434228,0.2230859375,0.008359253406524658,-0.07110749185085297,0.0887571637518704,1070,0.0003,0.2,-0.032561610182747246,-0.8921561396121979
38,558080,1181,9,0.022480972,0.20716796875,0.11405527591705322,-0.09314757585525513,0.075426772153005,1080,0.0003,0.2,-0.03126353131607175,-0.8830842959880829
43,563200,1176,10,0.022410227,0.2105078125,0.27939867973327637,-0.05360105261206627,0.08168136486783624,1090,0.0003,0.2,-0.03075035702669993,-0.88290137976408
2,568320,2146,1,0.023028916,0.21619140625,0.14434480667114258,-0.0940701812505722,0.10157087473198771,1100,0.0003,0.2,-0.03344465353526175,-0.9004203474521637
6,573440,1496,2,0.022003045,0.20107421875,0.1722293496131897,-0.07285576313734055,0.10248598007485271,1110,0.0003,0.2,-0.035086788069456816,-0.9026214110851288
10,578560,1402,3,0.023793738,0.21494140625,0.048650383949279785,-0.06573416292667389,0.08608126450330018,1120,0.0003,0.2,-0.0358445560792461,-0.9163442429900169
15,583680,1342,4,0.025190154,0.2293359375,0.24236011505126953,-0.10280872136354446,0.07308405402116477,1130,0.0003,0.2,-0.036030585067346695,-0.9053067225217819
19,588800,1299,5,0.022138527,0.2179296875,0.10567820072174072,-0.0788549855351448,0.07441445243544877,1140,0.0003,0.2,-0.039834415887016805,-0.9051992151141167
23,593920,1287,6,0.02529538,0.2440625,0.48993009328842163,-0.09914038330316544,0.054450549986213445,1150,0.0003,0.2,-0.04014306932454929,-0.9232932451367378
27,599040,1282,7,0.024153978,0.23556640625,0.36569350957870483,-0.09293794631958008,0.06161923375912011,1160,0.0003,0.2,-0.042884729728102686,-0.9185385391116142
32,604160,1279,8,0.022796312,0.2141015625,0.25731050968170166,-0.097446009516716,0.06597576765343546,1170,0.0003,0.2,-0.03773426169762388,-0.899712961614132
36,609280,1261,9,0.023375917,0.2309375,0.3189253807067871,-0.08932958543300629,0.06578316741622985,1180,0.0003,0.2,-0.03990768410731107,-0.898155734539032
