time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/approx_kl,train/n_updates,train/learning_rate
10,460800,1478,34,0.0571875,0.7710863947868347,0.2,-0.24002062201499938,-0.002186770159751177,0.39107623875141145,0.1587807983160019,0.005040435,445,0.0001
1,465920,1893,2,0.0496875,0.8627073764801025,0.2,-0.24232569605112075,-0.0029991396469995378,0.29228697538375853,0.16183733940124512,0.0052951276,450,0.0001
2,471040,1498,6,0.0778125,0.8632965087890625,0.2,-0.29044722139835355,-0.0038263508025556804,0.42331652373075485,0.2210724651813507,0.0053107105,455,0.0001
3,476160,1433,10,0.0588671875,0.8742406964302063,0.2,-0.2676775352656841,-0.002809442274738103,0.3292829865217209,0.1853218674659729,0.006766738,460,0.0001
4,481280,1407,14,0.056015625,0.9067405462265015,0.2,-0.2666546015441418,-0.0009700068272650242,0.2765129831433296,0.09810709953308105,0.0053483984,465,0.0001
5,486400,1381,18,0.0713671875,0.9091640114784241,0.2,-0.299966821372509,0.0006867157341912389,0.35808273404836655,0.1898258477449417,0.008705369,470,0.0001
6,491520,1364,22,0.05515625,0.8109707236289978,0.2,-0.22069816723465918,-0.0023830058099702,0.42977911949157716,0.1802133172750473,0.0071681114,475,0.0001
7,496640,1361,26,0.0630859375,0.8423351049423218,0.2,-0.317522931098938,-0.00199404364451766,0.5145283713936806,0.24355608224868774,0.0053437976,480,0.0001
8,501760,1361,30,0.0554296875,0.7952952980995178,0.2,-0.23975790157914162,-0.002403970423620194,0.4908722326159477,0.2191270887851715,0.0053470903,485,0.0001
9,506880,1353,34,0.06296875,0.7197505235671997,0.2,-0.2698038280010223,-0.0024159060535021127,0.5295983785390854,0.24111425876617432,0.0043019745,490,0.0001
10,512000,1352,37,0.063515625,0.8489549160003662,0.2,-0.29526974946260454,-0.0034488094272091983,0.3390661232173443,0.17429803311824799,0.00548684,495,0.0001
1,517120,1810,2,0.051640625,0.7480646371841431,0.2,-0.24638853803277017,-0.0018257263815030455,0.4185922700166702,0.210444375872612,0.005361098,500,0.0001
2,522240,1526,6,0.061875,0.8229389190673828,0.2,-0.2885209731757641,-0.0011648583738133312,0.35977346152067186,0.1660410463809967,0.0047528944,505,0.0001
3,527360,1468,10,0.0700390625,0.7971242666244507,0.2,-0.285384778380394,-0.0019981012819334865,0.36425437182188036,0.17172585427761078,0.007624018,510,0.0001
4,532480,1468,13,0.0672265625,0.8541132211685181,0.2,-0.336598804295063,-0.0020251846592873337,0.3531084755063057,0.12674148380756378,0.0067720166,515,0.0001
5,537600,1466,17,0.08390625,0.7796449661254883,0.2,-0.3087844932079315,-0.004304608600214124,0.4225427535176277,0.17724545300006866,0.010366628,520,0.0001
6,542720,1446,21,0.0789453125,0.752391517162323,0.2,-0.3124154430627823,-0.002390828714706004,0.45125571012496946,0.17729966342449188,0.0077234,525,0.0001
7,547840,1422,25,0.0519921875,0.7683308124542236,0.2,-0.2607163135707378,-0.00175996046513319,0.39756285548210146,0.16266368329524994,0.0051736347,530,0.0001
8,552960,1398,29,0.0610546875,0.6075229644775391,0.2,-0.2732440537214279,-0.004473103410564363,0.48946461856365203,0.22242683172225952,0.005954777,535,0.0001
9,558080,1402,32,0.056796875,0.7154145240783691,0.2,-0.3097111533582211,-0.002115143188275397,0.43984668254852294,0.24370062351226807,0.0061398405,540,0.0001
10,563200,1403,36,0.058984375,0.5575054883956909,0.2,-0.21308419421315195,-0.0028626758558675646,0.32685765489935875,0.1326817125082016,0.0049831574,545,0.0001
1,568320,1863,2,0.0512890625,0.7454355955123901,0.2,-0.21157997146248816,-0.0027171847922727466,0.24454888328909874,0.10666584968566895,0.0053481706,550,0.0001
2,573440,1580,6,0.0469921875,0.7766214609146118,0.2,-0.21303314134478568,-0.0023842073511332273,0.2519181627035141,0.10628685355186462,0.0053927945,555,0.0001
3,578560,1507,10,0.0591796875,0.843339204788208,0.2,-0.2575292330980301,-0.0020073664421215655,0.25843182787299157,0.1089763343334198,0.0059081325,560,0.0001
4,583680,1463,13,0.0473046875,0.8071011304855347,0.2,-0.221062241345644,-0.0006393847451545298,0.3364187073707581,0.1668110191822052,0.0045339577,565,0.0001
5,588800,1454,17,0.0439453125,0.8128857016563416,0.2,-0.20955830529332162,-0.0007493320293724537,0.28319483011960983,0.1444251388311386,0.005799985,570,0.0001
6,593920,1444,21,0.03203125,0.7709120512008667,0.2,-0.2033504369854927,-0.0020458966074511408,0.341274331510067,0.17550797760486603,0.0029060408,575,0.0001
7,599040,1441,24,0.073203125,0.8911902904510498,0.2,-0.31184625029563906,-0.003936151233501732,0.25882562294602396,0.12189710140228271,0.008342983,580,0.0001
8,604160,1413,28,0.04546875,0.8058749437332153,0.2,-0.21987835004925727,-0.0007000839617103339,0.36833625912666323,0.16149817407131195,0.0026835739,585,0.0001
9,609280,1379,33,0.0792578125,0.8446179628372192,0.2,-0.261035009175539,-0.0040789727494120595,0.36706188529729844,0.15938904881477356,0.010024579,590,0.0001
10,614400,1363,37,0.0567578125,0.852279782295227,0.2,-0.2136325503885746,-0.001533571588806808,0.35891183763742446,0.14589561522006989,0.0054178974,595,0.0001
1,619520,1790,2,0.05046875,0.8283376693725586,0.2,-0.21013819471001624,-0.0031356059620156885,0.36426590859889985,0.11943679302930832,0.0058563924,600,0.0001
2,624640,1511,6,0.1134765625,0.7836954593658447,0.2,-0.41142390966415404,-9.16534150019288e-05,0.4710169219970703,0.18869060277938843,0.015803494,605,0.0001
3,629760,1443,10,0.0962109375,0.8283754587173462,0.2,-0.43743075042963026,-0.00282673055306077,0.33781857684254646,0.1466994732618332,0.010393811,610,0.0001
4,634880,1418,14,0.0908984375,0.845798671245575,0.2,-0.4536236649751663,-0.0025012501794844867,0.2873734252154827,0.12404458224773407,0.008404359,615,0.0001
5,640000,1402,18,0.110078125,0.8488695025444031,0.2,-0.47626048505306245,-0.002139655528590083,0.25630980417132376,0.17218101024627686,0.007533943,620,0.0001
6,645120,1400,21,0.09820772058823529,0.8040403723716736,0.2,-0.4947113026590908,-0.002265959611052976,0.288098024883691,0.11213268339633942,0.02559803,625,0.0001
7,650240,1387,25,0.1241015625,0.6737105250358582,0.2,-0.42613556534051894,-0.002628836715593934,0.39904784396290777,0.2301754206418991,0.014321831,630,0.0001
8,655360,1382,29,0.11125,0.6754942536354065,0.2,-0.43389645874500277,-0.0037843631533905865,0.40241121292114257,0.13039831817150116,0.008502303,635,0.0001
9,660480,1368,33,0.1014453125,0.4765262007713318,0.2,-0.4630358213186264,-0.0026395177841186525,0.5659479638934135,0.2689341604709625,0.015151923,640,0.0001
10,665600,1357,37,0.098828125,0.35658836364746094,0.2,-0.4133364567160606,-0.0012285316595807671,0.5204289636015892,0.2559030055999756,0.010486423,645,0.0001
1,670720,2119,2,0.0958984375,0.24201369285583496,0.2,-0.4505927586555481,-0.0025641585094854234,0.3416601157933474,0.16009105741977692,0.009062288,650,0.0001
2,675840,1655,6,0.0850390625,0.39011305570602417,0.2,-0.40950179994106295,-0.002779321677517146,0.23832057394087314,0.12594296038150787,0.0077880644,655,0.0001
3,680960,1529,10,0.0988671875,0.48119020462036133,0.2,-0.41856868177652357,-0.00038798610214143994,0.20125746607780456,0.1772124469280243,0.012016194,660,0.0001
4,686080,1485,13,0.0881640625,0.167496919631958,0.2,-0.4047645953297615,-0.0028250922076404096,0.3749196957051754,0.11956551671028137,0.0067477254,665,0.0001
5,691200,1466,17,0.093515625,0.1328478455543518,0.2,-0.3822441032528877,-0.004012947431765497,0.34838033124804496,0.1842236965894699,0.008463198,670,0.0001
6,696320,1458,21,0.0908984375,0.13739055395126343,0.2,-0.37493233919143676,-0.0018835333362221718,0.37547538444399836,0.18951228260993958,0.012326494,675,0.0001
7,701440,1451,24,0.0746484375,0.2568945288658142,0.2,-0.36725166112184526,-0.0031402017967775463,0.31648713782429694,0.12214722484350204,0.007414598,680,0.0001
8,706560,1446,28,0.08328125,0.20858365297317505,0.2,-0.37834081321954727,-0.0015171996504068374,0.2473277160525322,0.08065426349639893,0.007481667,685,0.0001
9,711680,1441,31,0.0655859375,0.2813712954521179,0.2,-0.34776675194501877,-0.0004199770884588361,0.298288604170084,0.15009987354278564,0.0071916976,690,0.0001
10,716800,1438,35,0.078671875,0.3823466897010803,0.2,-0.3726454940438271,-0.0018452997598797083,0.24804930046200752,0.09904982894659042,0.0070690205,695,0.0001
1,721920,2251,2,0.096171875,0.3546406626701355,0.2,-0.39973931908607485,-0.0029425429459661247,0.2405861922353506,0.11273548007011414,0.007976098,700,0.0001
2,727040,1733,5,0.0700390625,0.4575367569923401,0.2,-0.3651933640241623,-0.002200930775143206,0.2890546198189259,0.1648215651512146,0.006340009,705,0.0001
3,732160,1608,9,0.0775,0.4712657332420349,0.2,-0.39354680716991425,-0.0024779723305255173,0.23262050673365592,0.10220880061388016,0.005248188,710,0.0001
4,737280,1497,13,0.0705078125,0.5215691328048706,0.2,-0.3368373471498489,-0.0041041883639991285,0.20662339717149736,0.09775403141975403,0.007715409,715,0.0001
5,742400,1421,18,0.0796484375,0.5749013423919678,0.2,-0.3507971876859665,-0.0025482324231415987,0.1972147062420845,0.06724859029054642,0.00964565,720,0.0001
6,747520,1395,22,0.0842578125,0.45059818029403687,0.2,-0.35290277004241943,-0.004948580111376941,0.22186272516846656,0.0884978249669075,0.00829788,725,0.0001
7,752640,1378,25,0.0833984375,0.3557681441307068,0.2,-0.35566465228796007,-0.0037738928804174066,0.22710082046687602,0.07496984302997589,0.008171316,730,0.0001
8,757760,1364,30,0.0712890625,0.39535194635391235,0.2,-0.38011261373758315,-0.0012747700605541467,0.22136773452162742,0.07545126974582672,0.0064987736,735,0.0001
9,762880,1354,34,0.0714453125,0.5272179841995239,0.2,-0.3460597038269043,-0.0038647282589226962,0.2172553752362728,0.04908016324043274,0.0077967145,740,0.0001
10,768000,1351,37,0.1051171875,0.32134997844696045,0.2,-0.38859561949968335,-0.007798881283961236,0.23474790886044503,0.11372679471969604,0.010691713,745,0.0001
1,773120,2071,2,0.068515625,0.36404407024383545,0.2,-0.3234518229961395,-0.002847203789278865,0.28563687413930894,0.10985122621059418,0.0073195533,750,0.0001
2,778240,1522,6,0.059453125,0.3463876247406006,0.2,-0.33670335352420805,-0.0026274832501076164,0.23706735029816628,0.06510446965694427,0.0061037457,755,0.0001
3,783360,1437,10,0.0748046875,0.23202401399612427,0.2,-0.32804725170135496,-0.002864610943943262,0.24630307123064996,0.1053357720375061,0.0070847706,760,0.0001
4,788480,1413,14,0.0720703125,0.2663193345069885,0.2,-0.3392856612801552,-0.0022145379334688187,0.21281905055046083,0.08397171646356583,0.0071840277,765,0.0001
5,793600,1396,18,0.08109375,0.48260068893432617,0.2,-0.3073627310991287,-0.0026115364767611026,0.28412347510457037,0.11202508956193924,0.007924349,770,0.0001
6,798720,1381,22,0.0642578125,0.6104931831359863,0.2,-0.3108600777387619,-0.004082380305044353,0.26664072275161743,0.1394718736410141,0.008312158,775,0.0001
7,803840,1373,26,0.0730859375,0.6168527603149414,0.2,-0.31035259038209917,-0.004145557167939842,0.23367019400000572,0.12488555908203125,0.008294683,780,0.0001
8,808960,1364,30,0.0641015625,0.3876250386238098,0.2,-0.34237119644880293,-0.0021168305817991493,0.22824395015835763,0.10777085274457932,0.011513309,785,0.0001
9,814080,1344,34,0.06265625,0.40713948011398315,0.2,-0.3076986375451088,-0.0018871816713362931,0.29827079325914385,0.13633494079113007,0.0053460132,790,0.0001
10,819200,1337,38,0.0751953125,0.498399555683136,0.2,-0.31280812710523603,-0.0018279480608180165,0.22391290560364724,0.07367200404405594,0.00689699,795,0.0001
1,824320,1836,2,0.0656640625,0.4314672350883484,0.2,-0.3301528164744377,-0.0038328509661369027,0.27520286694169044,0.11500591784715652,0.0076327957,800,0.0001
2,829440,1552,6,0.064765625,0.5063697099685669,0.2,-0.2918387338519096,-0.0021756791789084673,0.21442484065890313,0.1518108993768692,0.0061750673,805,0.0001
3,834560,1514,10,0.050703125,0.45166897773742676,0.2,-0.3025766083598137,-0.0021894149715080856,0.27330516546964645,0.12731896340847015,0.0063809482,810,0.0001
4,839680,1497,13,0.0738671875,0.5099532604217529,0.2,-0.33818943828344344,-0.003389609074220061,0.2607140223681927,0.08297162503004074,0.007735011,815,0.0001
5,844800,1483,17,0.064921875,0.5179840922355652,0.2,-0.2928297781944275,-0.0036948380433022977,0.24921145543456077,0.10409289598464966,0.007161333,820,0.0001
6,849920,1467,20,0.066015625,0.5188575983047485,0.2,-0.2666110886633396,-0.0019390704436227678,0.25491900846362114,0.0971255749464035,0.0071737682,825,0.0001
7,855040,1452,24,0.0658203125,0.5971461534500122,0.2,-0.2582575084269047,-0.0029967801086604596,0.24927360072731972,0.0872577577829361,0.008885467,830,0.0001
8,860160,1443,28,0.0552734375,0.6312602758407593,0.2,-0.26195921897888186,-0.0012675204034894704,0.269590705037117,0.13007795810699463,0.0054283785,835,0.0001
9,865280,1436,32,0.074609375,0.5864070653915405,0.2,-0.2746029165387154,-0.0032420058455318213,0.2897621624171734,0.09543918818235397,0.008118068,840,0.0001
10,870400,1432,35,0.05171875,0.4783439636230469,0.2,-0.26623244389891626,-0.003833101554773748,0.3495729601383209,0.14177671074867249,0.0050541046,845,0.0001
1,875520,1758,2,0.0696875,0.5602211952209473,0.2,-0.2688554663956165,-0.00469742133282125,0.2727449087798595,0.1306850165128708,0.008437445,850,0.0001
2,880640,1457,7,0.061796875,0.31199169158935547,0.2,-0.24139523431658744,-0.0032499463856220244,0.320484833419323,0.12749861180782318,0.008411607,855,0.0001
3,885760,1365,11,0.0658984375,0.25737547874450684,0.2,-0.22788698345422745,-0.0035188311198726297,0.2882296995818615,0.10420434921979904,0.008709797,860,0.0001
4,890880,1348,15,0.0615625,0.21302253007888794,0.2,-0.21545409590005873,-0.001318098409101367,0.2470272108912468,0.1179281622171402,0.007223445,865,0.0001
5,896000,1340,19,0.0661328125,0.28485220670700073,0.2,-0.21967073529958725,-0.00035455356119200586,0.24821961864829065,0.12549740076065063,0.009141676,870,0.0001
6,901120,1332,23,0.05,0.30752843618392944,0.2,-0.20601018264889717,-0.002218286031857133,0.27319896638393404,0.11985376477241516,0.0074173138,875,0.0001
7,906240,1329,26,0.071640625,0.47237277030944824,0.2,-0.21521546721458434,-0.002948954817838967,0.230924029648304,0.12296690046787262,0.007363937,880,0.0001
8,911360,1323,30,0.049921875,0.6436527967453003,0.2,-0.1917605571448803,-0.0028782456973567606,0.19247800804674625,0.10574957728385925,0.006321361,885,0.0001
9,916480,1315,35,0.0540625,0.36689817905426025,0.2,-0.19393466159701347,-0.003182883304543793,0.31640441417694093,0.12936954200267792,0.00862798,890,0.0001
10,921600,1304,39,0.063515625,0.44510889053344727,0.2,-0.1953396724164486,-0.0038634414272382856,0.255239387601614,0.08949854224920273,0.010082391,895,0.0001
1,926720,1892,2,0.0503125,0.5286827683448792,0.2,-0.19746844246983528,-0.0012205601204186677,0.22661615386605263,0.08132441341876984,0.006701947,900,0.0001
2,931840,1452,7,0.04890625,0.5109558701515198,0.2,-0.19211288362741472,-0.0017110654537100345,0.2542851755023003,0.08735629171133041,0.007065692,905,0.0001
3,936960,1368,11,0.0584765625,0.5505045652389526,0.2,-0.19980893313884734,-0.002174506294541061,0.23438715040683747,0.1074022501707077,0.0056308564,910,0.0001
4,942080,1362,15,0.0587109375,0.5910104513168335,0.2,-0.22151800602674485,-0.0031456055073067544,0.2653628277778626,0.17177879810333252,0.0068661445,915,0.0001
5,947200,1362,18,0.0507421875,0.44387906789779663,0.2,-0.1870756158232689,-0.004184393133036792,0.2715006111562252,0.14307978749275208,0.0054974705,920,0.0001
6,952320,1359,22,0.057734375,0.5435144901275635,0.2,-0.2049094931781292,-0.004011145671829581,0.25251040264964103,0.10506761074066162,0.0075575924,925,0.0001
7,957440,1361,26,0.055078125,0.7276411056518555,0.2,-0.19921022400259972,-0.0007902161916717887,0.19313355095684528,0.10594487190246582,0.0056829033,930,0.0001
8,962560,1360,30,0.049453125,0.6421751976013184,0.2,-0.17194481879472734,-0.0025546500901691615,0.2338976639509201,0.09758191555738449,0.0066310153,935,0.0001
9,967680,1358,33,0.053984375,0.7100870013237,0.2,-0.1823799878358841,-0.003590938406996429,0.21016559183597563,0.12155383825302124,0.00815152,940,0.0001
10,972800,1352,37,0.0450390625,0.710047721862793,0.2,-0.17754206135869027,-0.0008507340215146541,0.23038502782583237,0.12606558203697205,0.005947775,945,0.0001
1,977920,1777,2,0.04359375,0.6992937922477722,0.2,-0.18491410478949546,-0.0013615556573495268,0.24051352187991143,0.10139049589633942,0.0068218717,950,0.0001
2,983040,1520,6,0.0534375,0.662358283996582,0.2,-0.17912603855133058,-0.0016600583167746662,0.30945143043994905,0.18064594268798828,0.0060391305,955,0.0001
3,988160,1470,10,0.049765625,0.7345550060272217,0.2,-0.1738574470579624,-0.0014805359719321132,0.26578486487269404,0.13980986177921295,0.008774502,960,0.0001
4,993280,1444,14,0.0433984375,0.7013424634933472,0.2,-0.17234445676207544,-0.0011298296414315701,0.3134657654166222,0.237830251455307,0.005198051,965,0.0001
5,998400,1434,17,0.0550390625,0.6647083759307861,0.2,-0.18363263174891473,-0.002880880213342607,0.3462561239302158,0.09382843226194382,0.008328448,970,0.0001
6,1003520,1417,21,0.0431640625,0.6559932231903076,0.2,-0.1831211830675602,-0.002914004656486213,0.31026492089033125,0.10562626272439957,0.0047753756,975,0.0001
7,1008640,1404,25,0.058828125,0.6678441762924194,0.2,-0.18144738107919692,-0.001222139522433281,0.3753735385835171,0.13810847699642181,0.006913944,980,0.0001
8,1013760,1399,29,0.0453125,0.4197428822517395,0.2,-0.16492416985332967,-0.001777105242945254,0.4314720702171326,0.15307599306106567,0.0059984336,985,0.0001
9,1018880,1390,33,0.0491796875,0.7096502780914307,0.2,-0.1895411004126072,-0.0009409901592880487,0.30354746952652933,0.13578921556472778,0.005551316,990,0.0001
10,1024000,1310,39,0.048984375,0.6183187365531921,0.2,-0.1575823086500168,-0.0006903815595433116,0.3045533922314644,0.0900970995426178,0.005731591,995,0.0001
1,1029120,1564,3,0.0463671875,0.5560621619224548,0.2,-0.1617749734222889,-0.002337394738569856,0.2787149277329445,0.07527801394462585,0.0057828375,1000,0.0001
2,1034240,1172,8,0.053828125,0.4835732579231262,0.2,-0.17316932626068593,-0.0017349636973813176,0.33683388561010363,0.18224415183067322,0.0067832344,1005,0.0001
3,1039360,1018,15,0.05938632246376811,0.520625114440918,0.2,-0.165338893947394,0.0007991913530597652,0.31380610923836194,0.10620976984500885,0.017125348,1009,0.0001
4,1044480,981,20,0.0561328125,0.6853444576263428,0.2,-0.1688209842145443,-0.0011644302075728774,0.25763829618692397,0.13002169132232666,0.007017616,1014,0.0001
5,1049600,1002,25,0.0432421875,0.652497410774231,0.2,-0.14706044919788838,-0.001519657364115119,0.31805873185396194,0.118879534304142,0.007981149,1019,0.0001
6,1054720,1024,29,0.04796875,0.4229668378829956,0.2,-0.1601931382715702,-0.0037442700285464526,0.43887944519519806,0.2113422304391861,0.008080258,1024,0.0001
7,1059840,1051,34,0.050859375,0.5785090327262878,0.2,-0.1683695398271084,-0.002003578823059797,0.31994496792554855,0.16492731869220734,0.006737982,1029,0.0001
8,1064960,1074,38,0.0444921875,0.6077829599380493,0.2,-0.14557685010135174,-0.003544076168909669,0.25977316334843636,0.11166246980428696,0.0063912594,1034,0.0001
9,1070080,1093,42,0.053359375,0.527745246887207,0.2,-0.16413457229733466,-0.0021222637314349414,0.4026859897375107,0.1645651012659073,0.006032392,1039,0.0001
10,1075200,1105,46,0.048203125,0.6668540239334106,0.2,-0.16378071278333664,-0.0006224595243111252,0.29253646939992906,0.16630390286445618,0.006465928,1044,0.0001
1,1080320,1644,3,0.0476171875,0.6318316459655762,0.2,-0.16546516358852387,-0.003219812293536961,0.3975094324350357,0.22921451926231384,0.006844908,1049,0.0001
