time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,curriculum/stage,train/stage_learning_rate,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/explained_variance,curriculum/stage_timesteps,train/entropy_loss,train/n_updates,train/clip_fraction,curriculum/max_steps,curriculum/grid_size,train/policy_gradient_loss,train/ent_coef,curriculum/obs_quantity,eval/stage_timesteps,eval/mean_ep_length,eval/mean_reward,eval/full_coverage_rate,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length
225280,2,139.44,6,1575,6.7746686935424805,0.7612269520759583,,,0.0002,0.2,0.012927646,1.1465906083583832,0.12203788757324219,,-0.47430752098560336,215,0.121328125,,,0.00013433404266834258,,,,,,,,,,
230400,3,128.68,10,1482,6.931342601776123,0.41477665305137634,,,0.0002,0.2,0.013460845,0.8549283421039582,0.09129506349563599,,-0.39822080940008164,220,0.1011328125,,,-0.0006563810189254581,,,,,,,,,,
235520,4,130.1,14,1438,6.906903266906738,0.33254504203796387,,,0.0002,0.2,0.011313699,0.7398923939466476,0.271709680557251,,-0.39716555893421174,225,0.1141796875,,,-0.0003380705369636416,,,,,,,,,,
240640,5,127.87,18,1420,6.999774932861328,0.24000129103660583,,,0.0002,0.2,0.015270984,0.4896873879432678,0.4437375068664551,,-0.3948379266262054,230,0.1113671875,,,-0.00015027152374386788,,,,,,,,,,
245760,6,127.22,21,1406,7.021510601043701,0.2608720660209656,,,0.0002,0.2,0.016865632,0.4815391913056374,0.41541051864624023,,-0.35578110575675964,235,0.1264453125,,,-0.001748308432288468,,,,,,,,,,
250880,7,133.1,25,1391,6.6651129722595215,0.16791440546512604,,,0.0002,0.2,0.011443962,0.356134215593338,0.4274243712425232,,-0.35509896367788313,240,0.0916015625,,,0.00222396585624665,,,,,,,,,,
256000,8,130.26,29,1382,6.524135112762451,0.12199150770902634,,,0.0002,0.2,0.014568342,0.3346997547149658,0.6245577931404114,,-0.3547436672449112,245,0.10125,,,0.0008160789357498288,,,,,,,,,,
261120,9,123.35,33,1378,6.874251842498779,0.18231233954429626,,,0.0002,0.2,0.014203588,0.38661289125680925,0.6972253918647766,,-0.3819491150975227,250,0.1015234375,,,0.00032921893522143365,,,,,,,,,,
266240,10,117.88,37,1358,7.044851303100586,0.20919090509414673,,,0.0002,0.2,0.011736709,0.40430096417665484,0.6569547653198242,,-0.32928342938423155,255,0.0902734375,,,0.0002795617189258337,,,,,,,,,,
271360,1,118.96,2,1828,7.017096996307373,0.16816549003124237,2,0.00016586666666666667,0.0002,0.2,0.014892255,0.34378604978322985,0.7433111667633057,51200,-0.35434736162424085,260,0.106015625,320,8,0.0009442778071388602,0.006805333333333333,8,,,,,,,,
276480,2,121.68,6,1486,6.937757968902588,0.18981482088565826,,,0.00016586666666666667,0.2,0.0075059854,0.3903451220691204,0.6993489265441895,,-0.3681753641366959,265,0.07921875,,,0.0017301237164065242,,,,,,,,,,
281600,3,121.22,11,1374,6.861787796020508,0.16298002004623413,,,0.00016586666666666667,0.2,0.009695193,0.3715121611952782,0.7952475547790527,,-0.35469615668058396,270,0.0819140625,,,0.0007411243440583348,,,,,,,,,,
286720,4,115.81,15,1317,6.968884468078613,0.16444814205169678,,,0.00016586666666666667,0.2,0.008611734,0.35085840463638307,0.8391914367675781,,-0.3645196187496185,275,0.0859765625,,,-0.002063433206640184,,,,,,,,,,
291840,5,119.63,19,1298,6.867265701293945,0.18883341550827026,,,0.00016586666666666667,0.2,0.009876048,0.35835590660572053,0.684798002243042,,-0.2894723588228226,280,0.0746875,,,-0.0005935133621096611,,,,,,,,,,
296960,6,119.58,23,1290,6.834247589111328,0.24785378575325012,,,0.00016586666666666667,0.2,0.006820687,0.4171450999379158,0.7853872776031494,,-0.3197021862864494,285,0.0765625,,,0.00023645819164812564,,,,,,,,,,
302080,7,126.43,27,1292,6.6894707679748535,0.26251184940338135,,,0.00016586666666666667,0.2,0.008650763,0.4968429458141327,0.8206550478935242,,-0.3437786027789116,290,0.092265625,,,-0.0015056717116385698,,,,,,,,,,
307200,8,124.15,31,1292,6.6719136238098145,0.24792347848415375,,,0.00016586666666666667,0.2,0.009298755,0.5588406386971474,0.7895596623420715,,-0.3312666472792625,295,0.068515625,,,0.0010077294614166022,,,,,,,,,,
312320,9,116.78,35,1287,6.926755905151367,0.23777790367603302,,,0.00016586666666666667,0.2,0.0055506914,0.411116695702076,0.7699466347694397,,-0.2842664957046509,300,0.0649609375,,,-0.0018974290182814002,,,,,,,,,,
317440,10,121.3,39,1286,6.820868015289307,0.19765275716781616,,,0.00016586666666666667,0.2,0.011281488,0.47637115806341174,0.7533984780311584,,-0.2707321372628212,305,0.0619140625,,,-0.0010888634622097015,,,,,,,,,,
,,,,,,0.3193970024585724,,,0.00016586666666666667,0.2,0.013315784,0.4867551189661026,0.7816334962844849,,-0.30154657512903216,310,0.09984375,,,0.0009841155353933573,,,102400,118.49,7.067593808472156,0.96,2,1.8909510740898712,0,59.940886713494656
,,,,,,,,,,,,,,,,,,,,,,,102400,109.7,7.240340812802315,0.96,2,1.654327624761534,0,53.31013036937726
,,,,,,,,,,,,,,,,,,,,,,,102400,121.28,7.045070687234402,0.95,2,1.8728351935387548,0,63.358358564596664
322560,1,116.22,2,1912,6.9968719482421875,,2,0.00013173333333333336,,,,,,102400,,,,320,8,,0.006610666666666667,8,,,,,,,,
327680,2,118.5,6,1496,7.009912490844727,0.1802009642124176,,,0.00013173333333333336,0.2,0.005129335,0.3268305517733097,0.7719363570213318,,-0.28097069293260574,315,0.0674609375,,,-0.00046158871613442896,,,,,,,,,,
332800,3,121.47,10,1414,6.861846923828125,0.24418295919895172,,,0.00013173333333333336,0.2,0.0064366236,0.37518831580877304,0.7926093935966492,,-0.34312608689069746,320,0.073984375,,,-0.0027226620353758336,,,,,,,,,,
337920,4,117.37,15,1359,6.940808296203613,0.20813743770122528,,,0.00013173333333333336,0.2,0.006649739,0.3880810059607029,0.7484397888183594,,-0.3224995321035385,325,0.0656640625,,,-0.00241849702084437,,,,,,,,,,
343040,5,115.38,18,1348,7.075778961181641,0.20167283713817596,,,0.00013173333333333336,0.2,0.0054635336,0.4103668391704559,0.7952180504798889,,-0.3235555106401444,330,0.0741015625,,,-0.0014076579222455621,,,,,,,,,,
348160,6,109.39,22,1342,7.229355335235596,0.27942314743995667,,,0.00013173333333333336,0.2,0.007878738,0.5090201368927956,0.7587894797325134,,-0.31410922795534135,335,0.0719140625,,,-0.0034443058446049692,,,,,,,,,,
353280,7,108.22,26,1340,7.231907367706299,0.21801437437534332,,,0.00013173333333333336,0.2,0.0055479207,0.39492160648107527,0.7135072946548462,,-0.2890531378984451,340,0.070703125,,,-0.0018372068088501692,,,,,,,,,,
358400,8,112.55,30,1336,7.181314468383789,0.12532007694244385,,,0.00013173333333333336,0.2,0.007702022,0.3549818164110184,0.8137366771697998,,-0.30881230473518373,345,0.0751953125,,,-0.0017788158217445017,,,,,,,,,,
363520,9,114.16,34,1335,7.064722061157227,0.20021112263202667,,,0.00013173333333333336,0.2,0.00620703,0.4600805360078812,0.7252123355865479,,-0.29284105479717254,350,0.0578515625,,,-0.001908528336789459,,,,,,,,,,
368640,10,117.29,38,1334,6.956656455993652,0.14509142935276031,,,0.00013173333333333336,0.2,0.007956392,0.368934690952301,0.8394606709480286,,-0.32218970894813537,355,0.0848828125,,,-0.002645369148813188,,,,,,,,,,
,,,,,,0.15308788418769836,,,0.00013173333333333336,0.2,0.0074914345,0.4221193417906761,0.7890645265579224,,-0.28925765603780745,360,0.070234375,,,-0.0024837409006431698,,,153600,105.62,7.373439039587975,0.98,2,1.4120697423731559,0,45.83050948876741
,,,,,,,,,,,,,,,,,,,,,,,153600,114.62,7.082318417727947,0.95,2,1.9818906446165663,0,59.42722944913384
373760,1,120.53,2,1940,6.845714569091797,,2,0.0001,,,,,,153600,,,,320,8,,0.006416,8,,,,,,,,
378880,2,117.86,6,1595,7.048037052154541,0.15571454167366028,,,0.0001,0.2,0.0042181783,0.47735668838024137,0.8019604682922363,,-0.3027176278829575,365,0.04578125,,,-0.0011045748600736261,,,,,,,,,,
384000,3,115.92,10,1520,7.1880974769592285,0.2192031443119049,,,0.0001,0.2,0.0052443827,0.5281732136011124,0.7822245359420776,,-0.3199599611759186,370,0.0566015625,,,-0.0017868497828021645,,,,,,,,,,
389120,4,111.85,13,1485,7.253139019012451,0.21681499481201172,,,0.0001,0.2,0.006652443,0.4065652573108673,0.6847906708717346,,-0.25898891866207124,375,0.0545703125,,,-0.00490536933299154,,,,,,,,,,
394240,5,114.32,17,1460,7.1066155433654785,0.20625969767570496,,,0.0001,0.2,0.0064741424,0.4252228030562401,0.7004331946372986,,-0.2639162327349186,380,0.052265625,,,-0.0016720021981745958,,,,,,,,,,
399360,6,116.23,21,1443,7.007511138916016,0.15065285563468933,,,0.0001,0.2,0.0062429975,0.35355221092700956,0.7664114236831665,,-0.27127829387784,385,0.06828125,,,-0.0036291815666481854,,,,,,,,,,
404480,7,122.18,24,1438,6.878268241882324,0.2954109013080597,,,0.0001,0.2,0.005279373,0.4761877343058586,0.7533730268478394,,-0.29087410390377044,390,0.0501171875,,,-0.0017928551812656224,,,,,,,,,,
409600,8,127.68,28,1432,6.707249164581299,0.20828089118003845,,,0.0001,0.2,0.004724053,0.5276698708534241,0.7736872434616089,,-0.3172521334886551,395,0.0571484375,,,0.0004313266836106777,,,,,,,,,,
414720,9,126.03,32,1422,6.845498085021973,0.23364350199699402,,,0.0001,0.2,0.006566358,0.6158443388342857,0.7258560657501221,,-0.3148589661717415,400,0.0584765625,,,-0.0016524566756561398,,,,,,,,,,
