rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
30.120181849999998,611,48.48,2207744,3608,539,85.2061500787735,0.0003,36.23200607299805,-0.628371499106288,5380,0.006117256,0.6352173686027527,0.2,-0.006629289366537705,0.05322265625,,
,,,2210000,,,105.06119530200958,0.0003,51.62421417236328,-0.6156210340559483,5390,0.006948021,0.6904348134994507,0.2,-0.008934234947082587,0.064892578125,44.0,33.87763525366783
34.39945455,611,42.15,2211840,3616,540,,,,,,,,,,,,
26.046545490000003,611,52.91,2215936,3622,541,74.83091795444489,0.0003,33.39925003051758,-0.5784347981214524,5400,0.005305793,0.7844369411468506,0.2,-0.006883160189318005,0.048046875,,
,,,2220000,,,124.49130125045777,0.0003,50.41093063354492,-0.6707830302417278,5410,0.006773391,0.6073527336120605,0.2,-0.0060626411621342415,0.0676513671875,42.8,31.468907947540284
24.60400003,611,54.78,2220032,3629,542,,,,,,,,,,,,
32.38563638,611,45.54,2224128,3635,543,105.25783853530884,0.0003,51.075958251953125,-0.6886427029967308,5420,0.0069617494,0.6673604249954224,0.2,-0.009968136122915893,0.07373046875,,
34.845818200000004,612,43.81,2228224,3640,544,93.16055426597595,0.0003,41.829444885253906,-0.6250499073415995,5430,0.0057650814,0.7382850646972656,0.2,-0.007035919844929595,0.0507080078125,,
,,,2230000,,,139.8766701221466,0.0003,56.138893127441406,-0.6418217774480581,5440,0.00501299,0.6648801565170288,0.2,-0.005973054343485273,0.04970703125,55.94,19.877635086774827
23.6366364,611,53.24,2232320,3648,545,,,,,,,,,,,,
26.88109094,611,52.7,2236416,3654,546,117.58941059112549,0.0003,53.99221420288086,-0.6602042887359858,5450,0.0063727447,0.7847945690155029,0.2,-0.006917687178065535,0.06728515625,,
,,,2240000,,,111.90623712539673,0.0003,40.09040832519531,-0.7008664280176162,5460,0.0057298783,0.6967829465866089,0.2,-0.007140550251642707,0.064111328125,50.44,28.87254426717758
38.649909099999995,611,39.29,2240512,3662,547,,,,,,,,,,,,
29.926181850000003,611,48.81,2244608,3667,548,81.61740803718567,0.0003,29.973350524902344,-0.6130491491407156,5470,0.005041048,0.6948819160461426,0.2,-0.008647466948605142,0.0476318359375,,
35.5718182,612,43.24,2248704,3673,549,119.98620886802674,0.0003,42.34666061401367,-0.6617364395409823,5480,0.006537102,0.7062641382217407,0.2,-0.008232277593924664,0.0592529296875,,
,,,2250000,,,104.58390309810639,0.0003,51.624691009521484,-0.6482848789542913,5490,0.007427726,0.736388087272644,0.2,-0.008570329936628696,0.06689453125,51.06,27.806544276475908
30.511818200000004,611,46.36,2252800,3681,550,,,,,,,,,,,,
35.9338182,612,42.35,2256896,3686,551,110.16540098190308,0.0003,47.557823181152344,-0.6134440779685975,5500,0.005035221,0.6683931350708008,0.2,-0.006468205643614056,0.04892578125,,
,,,2260000,,,100.18704001903534,0.0003,51.674468994140625,-0.6420947633683681,5510,0.005496387,0.6426503658294678,0.2,-0.008648013191486826,0.0630615234375,48.96,30.622726104259492
22.103000039999998,611,54.87,2260992,3694,552,,,,,,,,,,,,
24.495636400000002,612,52.56,2265088,3699,553,89.09826366901397,0.0003,46.353851318359375,-0.6303022403270007,5520,0.0058778017,0.8513295650482178,0.2,-0.008491939713712782,0.05849609375,,
27.578272749999996,612,49.95,2269184,3705,554,103.9929212808609,0.0003,41.132076263427734,-0.6248879477381706,5530,0.004811354,0.7808110117912292,0.2,-0.006540710246190429,0.053955078125,,
