time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/explained_variance,curriculum/max_steps,train/ent_coef,train/learning_rate,curriculum/stage_timesteps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,curriculum/grid_size,curriculum/obs_quantity,train/n_updates,curriculum/stage,train/clip_fraction,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/deterministic,eval/std_reward,eval/mean_reward
6,7.275652885437012,1121,138240,42.23,27,0.08437954634428024,0.5746557712554932,,,0.0001,,-0.5121620851755142,0.0055622654,-0.0006581372674554586,0.15529863797128202,0.2,,,130,,0.0616015625,,,,,,,,
7,7.261631488800049,1114,143360,44.67,32,0.08310240507125854,0.6462593674659729,,,0.0001,,-0.5156488391757011,0.006619169,-0.0016424350021407008,0.15856375873088838,0.2,,,135,,0.07125,,,,,,,,
8,7.372215747833252,1104,148480,38.38,37,0.08190151304006577,0.6267654895782471,,,0.0001,,-0.5145740893483162,0.0071475976,-0.003968032100237906,0.19571211725473403,0.2,,,140,,0.08734375,,,,,,,,
9,7.459437370300293,1099,153600,36.81,41,0.08173882961273193,0.6283302307128906,,,0.0001,,-0.4904713609814644,0.007014215,-0.0037177579663693907,0.17917151361703873,0.2,,,145,,0.0836328125,,,,,,,,
10,7.386125564575195,1092,158720,38.06,46,0.061457227915525436,0.5427496433258057,,,0.0001,,-0.45724400252103803,0.0066418685,-0.004737635003402829,0.15029100351035596,0.2,,,150,,0.0712890625,,,,,,,,
,,,,,,0.05856676027178764,0.6385514736175537,,,0.0001,,-0.4624730044603348,0.0066851876,-0.001654833620414138,0.13372122786939145,0.2,,,155,,0.0576953125,0.79,63.69,153600,1,70.36855760920498,1,4.521976551013308,5.324891791343689
1,7.435061454772949,1433,163840,35.59,3,,,200,0.0010000000000000009,,153600,,,,,,5,3,,1,,,,,,,,,
2,7.364926338195801,1190,168960,40.47,8,0.031100815162062645,0.6487644910812378,,,0.0001,,-0.43914580285549165,0.0063689216,-0.00365379782859236,0.1159530396014452,0.2,,,160,,0.07265625,,,,,,,,
3,7.413527965545654,1134,174080,38.01,13,0.07040096074342728,0.6841036677360535,,,0.0001,,-0.4510479500889778,0.006340456,-0.00446626240387559,0.14006740607321264,0.2,,,165,,0.0752734375,,,,,,,,
4,7.366619110107422,1101,179200,37.69,18,0.05747513100504875,0.6192964911460876,,,0.0001,,-0.42671424001455305,0.005511521,-0.0029259290965273975,0.1400036946684122,0.2,,,170,,0.08546875,,,,,,,,
5,7.407721519470215,1116,184320,35.47,22,0.05125349760055542,0.6367504596710205,,,0.0001,,-0.3930812412500381,0.005189188,-0.003988387868739665,0.12673879027366639,0.2,,,175,,0.0806640625,,,,,,,,
6,7.5054779052734375,1149,189440,34.04,26,0.055567920207977295,0.716436505317688,,,0.0001,,-0.3795602950453758,0.005658035,-0.003091595834121108,0.11447750985622406,0.2,,,180,,0.070390625,,,,,,,,
7,7.346664905548096,1171,194560,37.77,30,0.03437180817127228,0.6606701612472534,,,0.0001,,-0.34471087276935575,0.006036197,-0.00539101748727262,0.10280287280678749,0.2,,,185,,0.06515625,,,,,,,,
8,7.5015387535095215,1191,199680,34.11,34,0.0757843628525734,0.6351462602615356,,,0.0001,,-0.36815147012472155,0.006478562,-0.0024919505696743725,0.1121944572031498,0.2,,,190,,0.0655078125,,,,,,,,
9,7.206584930419922,1202,204800,38.43,38,0.061640914529561996,0.6566169261932373,,,0.0001,,-0.33619803458452224,0.0058299033,-0.002956209355033934,0.10768811002373696,0.2,,,195,,0.06359375,,,,,,,,
10,7.273471832275391,1183,209920,36.15,43,0.05816413462162018,0.7072274684906006,,,0.0001,,-0.35635087221860884,0.0044319793,-0.0024598453799262645,0.1175784457474947,0.2,,,200,,0.0579296875,,,,,,,,
,,,,,,0.05252360552549362,0.7480144500732422,,,0.0001,,-0.33093359708786013,0.005539011,-0.002261483506299555,0.13473472267389297,0.2,,,205,,0.051015625,0.9,43.37,204800,1,52.308824303362044,1,3.4815775107797515,6.51248289346695
1,7.473942756652832,1410,215040,34.94,3,,,200,0.0010000000000000009,,204800,,,,,,5,3,,1,,,,,,,,,
2,7.540249824523926,1176,220160,32.44,8,0.05456484854221344,0.6476821899414062,,,0.0001,,-0.3115249714255333,0.0065498836,-0.004371357089839875,0.13245080195367337,0.2,,,210,,0.059296875,,,,,,,,
3,7.629159450531006,1121,225280,28.92,13,0.05239002779126167,0.6957665681838989,,,0.0001,,-0.28936507016420365,0.004412075,-0.001039601000957191,0.09844056718051433,0.2,,,215,,0.05484375,,,,,,,,
4,7.481698513031006,1097,230400,34.79,18,0.03649254888296127,0.7316925525665283,,,0.0001,,-0.26525288850069045,0.0037105717,-0.0008217835146933794,0.08268863212317229,0.2,,,220,,0.0482421875,,,,,,,,
5,7.572312831878662,1078,235520,30.27,23,0.04839370772242546,0.6974347829818726,,,0.0001,,-0.28032465785741806,0.0065342886,-0.003657341226935387,0.09431056797504425,0.2,,,225,,0.057578125,,,,,,,,
6,7.487692832946777,1072,240640,31.38,28,0.04074319079518318,0.6318199038505554,,,0.0001,,-0.2713091753423214,0.009689433,-0.0014577061007730663,0.11880204260349274,0.2,,,230,,0.073046875,,,,,,,,
7,7.6267499923706055,1071,245760,29.08,33,0.04609895125031471,0.6322507858276367,,,0.0001,,-0.22643032118678094,0.0048726443,-0.0020859133871272205,0.09600287288427353,0.2,,,235,,0.0534375,,,,,,,,
8,7.587397575378418,1067,250880,30.22,38,0.019354090094566345,0.5884877443313599,,,0.0001,,-0.21415529325604438,0.006494888,-0.00027640120126307013,0.05990678623318672,0.2,,,240,,0.05109375,,,,,,,,
9,7.588715076446533,1064,256000,30.14,43,0.03000055067241192,0.705580472946167,,,0.0001,,-0.20884232670068742,0.005719782,-0.001208506915718317,0.07107639264315367,0.2,,,245,,0.0532421875,,,,,,,,
