time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/loss,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/policy_gradient_loss,train/explained_variance,eval/mean_reward,eval/mean_ep_length
622,107,703,438272,45.2,34.93254546,0.06513671875,49.4777946472168,1060,-0.6609785553067923,0.006132952,0.0003,0.2,99.59429364204406,-0.0035909330530557782,0.41789501905441284,,
,,,440000,,,0.05634765625,30.2531681060791,1070,-0.6021973609924316,0.005777885,0.0003,0.2,64.1215190410614,-0.0036324978107586505,0.26812076568603516,38.016907993555066,41.7
621,108,711,442368,49.53,31.147000010000003,,,,,,,,,,,,
621,109,717,446464,45.81,34.34081819,0.0607421875,20.369483947753906,1080,-0.60399448312819,0.00621126,0.0003,0.2,61.74704637527466,-0.001911739034403581,0.41288745403289795,,
,,,450000,,,0.0878173828125,25.63414764404297,1090,-0.6191538907587528,0.008598568,0.0003,0.2,59.28544225692749,-0.003164668597310083,0.45992010831832886,36.3269079709053,43.6
620,110,726,450560,49.09,29.480909099999998,,,,,,,,,,,,
620,111,732,454656,50.34,25.39227274,0.0569580078125,32.360687255859375,1100,-0.5837343908846379,0.0065742643,0.0003,0.2,74.98571898937226,-0.0012674566605710424,0.5132473707199097,,
621,112,738,458752,42.61,36.838909099999995,0.061962890625,33.76081085205078,1110,-0.5535994302481413,0.006228659,0.0003,0.2,71.14018318653106,-0.0006156497343908996,0.6745029091835022,,
,,,460000,,,0.081103515625,25.647357940673828,1120,-0.587019094824791,0.0075838324,0.0003,0.2,50.760760474205014,-0.004101797256589634,0.4625978469848633,40.97599893927574,37.98
619,113,746,462848,44.93,34.26327274,,,,,,,,,,,,
620,114,752,466944,47.17,32.31627275,0.077783203125,25.552112579345703,1130,-0.5909500036388635,0.0067324415,0.0003,0.2,66.79469568729401,-0.0030147364450385794,0.4444739818572998,,
,,,470000,,,0.04130859375,39.14094924926758,1140,-0.5914902750402689,0.004190514,0.0003,0.2,75.64822883605957,-0.0020468293616431764,0.6156891584396362,16.400725961923598,63.74
617,115,762,471040,50.04,29.45718185,,,,,,,,,,,,
619,116,767,475136,45.34,34.188727289999996,0.062158203125,45.087127685546875,1150,-0.589337432384491,0.005723372,0.0003,0.2,86.29344301223755,-0.000974697720084805,0.609542727470398,,
620,117,772,479232,44.36,35.70545455,0.05458984375,46.86463928222656,1160,-0.5924994993954897,0.006364464,0.0003,0.2,75.61547696590424,-0.003384452674072236,0.5937772989273071,,
,,,480000,,,0.067041015625,31.68527603149414,1170,-0.5867193102836609,0.006741077,0.0003,0.2,70.90853450298309,-0.0029503741636290213,0.3712531328201294,31.94981701850891,47.88
619,118,780,483328,46.08,33.5148182,,,,,,,,,,,,
620,119,785,487424,50.58,29.100818209999996,0.07177734375,26.38776969909668,1180,-0.6000725079327822,0.0073486036,0.0003,0.2,60.9994838476181,-0.0017492257989943027,0.5206313729286194,,
,,,490000,,,0.068017578125,28.944374084472656,1190,-0.593299762532115,0.007606914,0.0003,0.2,77.7190390586853,-0.001301316640456207,0.5763022899627686,31.57454429268837,48.3
619,120,792,491520,47.4,32.888818199999996,,,,,,,,,,,,
620,121,798,495616,52.47,23.721363649999997,0.071044921875,47.265777587890625,1200,-0.6369724817574024,0.007126167,0.0003,0.2,91.83938512802123,-0.002826467218983453,0.5258396863937378,,
621,122,803,499712,43.8,33.667909089999995,0.063232421875,35.85758972167969,1210,-0.598179841414094,0.007652602,0.0003,0.2,101.54028244018555,-0.0023263908609806095,0.6997147798538208,,
,,,500000,,,0.06923828125,29.308242797851562,1220,-0.6101774107664824,0.007433769,0.0003,0.2,69.82359638214112,-0.0029721337341470644,0.7356352806091309,32.820726124048235,46.6
620,123,811,503808,52.28,27.657090940000003,,,,,,,,,,,,
621,124,816,507904,48.2,31.752272749999996,0.106640625,33.916297912597656,1230,-0.6849423598498106,0.007956757,0.0003,0.2,80.69592692852021,-0.006084822761476971,0.5304727554321289,,
,,,510000,,,0.0715087890625,37.97550582885742,1240,-0.6513827357441186,0.0062999283,0.0003,0.2,83.9295669555664,-0.0014709083050547633,0.5901497602462769,23.49036238908768,56.76
620,125,824,512000,51.17,29.501272750000002,,,,,,,,,,,,
622,126,829,516096,46.34,33.541818199999994,0.0767333984375,53.03419494628906,1250,-0.6877101093530655,0.008635996,0.0003,0.2,112.56497054100036,-0.002662720243097283,0.5916818976402283,,
,,,520000,,,0.068310546875,37.74392318725586,1260,-0.6745884798467159,0.007641691,0.0003,0.2,93.0447597026825,-0.0026781572232721373,0.5919180512428284,34.806907949447634,45.4
621,127,836,520192,50.37,30.05318184,,,,,,,,,,,,
622,128,842,524288,45.8,34.775363639999995,0.0809326171875,59.98585891723633,1270,-0.6945517461746931,0.009356752,0.0003,0.2,124.78075671195984,-0.00504012115416117,0.4250860810279846,,
