rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,curriculum/preferred_eval_mode,train/stage_learning_rate,curriculum/max_steps,train/ent_coef,curriculum/obs_quantity,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,eval/stage_timesteps,eval/std_reward,eval/deterministic,eval/full_coverage_rate,eval/mean_reward,eval/mean_ep_length,eval/std_ep_length,eval/stage,eval/promotion_full_coverage_rate,eval/coverage_promotion_passed,eval/quality_promotion_passed,eval/promotion_passed,eval/stochastic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/mode_gap
51.9,6,189440,279,5.84829568862915,54,-0.0016190456412732601,7e-05,-0.7018795835971833,0.8607412576675415,0.6802801489830017,0.15,0.9344480720162391,0.0059595685,0.118203125,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.25,7,192000,295,6.016671180725098,60,0.005453668898198663,7e-05,-0.6617635590274159,0.8725780844688416,0.19842813909053802,0.15,0.7557186684230479,0.03384512,0.15491615853658536,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.92,8,194560,313,5.3517913818359375,65,0.00797526998212561,7e-05,-0.6750474013388157,0.8502339124679565,0.6957354545593262,0.15,0.9913379182107747,0.0171576,0.163818359375,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,9,197120,297,5.711907386779785,77,-0.0007991610094904899,7e-05,-0.6633265143632889,0.9134352803230286,0.19771039485931396,0.15,0.6542854291200638,0.008499019,0.1496875,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.42,10,199680,294,5.726547718048096,86,0.0012161620954672496,7e-05,-0.6505711181958517,0.7333328723907471,1.486860990524292,0.15,0.7574877458810806,0.010184985,0.13875,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.0025696659088134764,7e-05,-0.6370944327116013,0.8651720881462097,0.35493266582489014,0.15,0.7199625951051712,0.004549714,0.110625,375,,,,,,,,,179200,4.341879314595896,0,0.98,5.075079112052918,56.77,34.976236218324004,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,179200,8.573549386951266,1,0.76,3.7814696022868155,75.13,70.54071944628862,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,179200,,,,,,,1,0.98,0,0,0,0.98,0.98,0,0.76,6.75,0.693,0,45.0,0.21999999999999997
54.05,1,202240,2236,5.429981708526611,1,,,,,,,,,,,1,7e-05,200,0.0010000000000000009,3,5,179200,1,,,,,,,,,,,,,,,,,,,,,
53.62,2,204800,861,5.4599289894104,5,0.0008924868067397791,7e-05,-0.6251375745324528,0.8987869024276733,0.16744114458560944,0.15,0.8282006374176811,0.007419367,0.1015625,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.68,3,207360,534,5.655966281890869,14,-0.000337679533717724,7e-05,-0.6314334062429575,0.8991935849189758,0.9875101447105408,0.15,0.8885674426188835,0.014079899,0.11514423076923076,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.87,4,209920,376,6.146397113800049,27,-0.0025946561619639395,7e-05,-0.6294066059589386,0.8992164134979248,0.37906166911125183,0.15,0.8731113936007023,0.0060147964,0.0946875,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.19,5,212480,327,6.035811901092529,39,-0.0017290690820664168,7e-05,-0.5999742141366005,0.733460545539856,0.2893993854522705,0.15,1.308517233505845,0.006106044,0.1146875,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.98,6,215040,292,5.734215259552002,52,-0.00041333370842039585,7e-05,-0.593866693675518,0.8862507343292236,0.045694902539253235,0.15,1.2566727258265018,0.006781494,0.09484375,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.84,7,217600,308,6.8671159744262695,58,0.00439703072874974,7e-05,-0.5755918178802881,0.8667974472045898,0.47459033131599426,0.15,0.837240395637659,0.010729242,0.13762019230769232,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.24,8,220160,318,6.9959306716918945,64,0.000583224929869175,7e-05,-0.5228043858041155,0.726404070854187,0.11765459924936295,0.15,0.5270112410504767,0.010005116,0.08577127659574468,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.51,9,222720,331,6.151228427886963,69,0.0060179732376482425,7e-05,-0.5322982508961748,0.9079373478889465,1.0075162649154663,0.15,0.8036911331298875,0.032262333,0.14691310975609756,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.04,10,225280,350,5.187753200531006,73,0.006416106480173767,7e-05,-0.5810138707359632,0.9253650903701782,0.24751177430152893,0.15,0.763445470482111,0.020132732,0.1416015625,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.0012527274619787932,7e-05,-0.550833654999733,0.7886484861373901,0.31196409463882446,0.15,1.0286272521317006,0.00736963,0.114765625,411,,,,,,,,,204800,2.686209368173882,0,1.0,6.783547334820032,44.17,18.901351803508657,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,204800,7.847924046884892,1,0.84,5.2406566125154495,60.35,61.43230013600338,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,204800,,,,,,,1,1.0,1,1,1,1.0,1.0,1,0.84,6.75,0.693,0,45.0,0.16000000000000003
