time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/stage_learning_rate,curriculum/grid_size,curriculum/stage_timesteps,curriculum/stage,curriculum/preferred_eval_mode,train/ent_coef,curriculum/obs_quantity,curriculum/max_steps,plasticity/total_weight_units,plasticity/low_weight_units,plasticity/weight_rms,plasticity/weight_max_abs,plasticity/low_weight_unit_ratio,plasticity/weight_abs_mean,plasticity/effective_rank_99_mean,plasticity/effective_rank_99_normalized_mean,eval/full_coverage_rate,eval/deterministic,eval/stage_timesteps,eval/stage,eval/std_ep_length,eval/mean_reward,eval/mean_ep_length,eval/std_reward,eval/deterministic_full_coverage_rate,eval/promotion_min_mean_reward,eval/stochastic_quality_passed,eval/quality_promotion_passed,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/deterministic_quality_passed,eval/promotion_max_mean_length,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/promotion_passed,eval/deterministic_promotion_floor
123,4,112.02,166,-0.97782301902771,220160,7e-05,0.08,0.0019542351,0.1403076171875,336,0.43720316886901855,2.9812803268432617,-1.1339334033429622,-0.001306999463122338,1.8708420315058902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,5,118.24,151,-1.8703315258026123,225280,7e-05,0.08,0.0022419852,0.179541015625,344,0.4889896512031555,0.05453545227646828,-1.1304776310920714,0.0001063264935510233,1.7637795996735803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7e-05,0.08,0.001716185,0.1744140625,352,0.49782073497772217,1.2661792039871216,-1.1342604823410511,0.00032493966864421964,1.6598720502806827,,,,,,,,,1925,13,0.022273776460475795,0.9765010476112366,0.006753246753246753,0.009762497785161561,123.83333333333333,0.9073350694444445,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0,204800,1,55.02899144996208,-0.97161714784801,119.49,4.2583745422439065,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,204800,1,47.54493769056806,-3.2442857909202574,184.17,5.541559865966716,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204800,1,,,,,0.1,6.75,0,0,0,0.75,0,45.0,0.75,0.75,0.65,0,0.6649999999999999
1,1,123.09,2580,-2.1271932125091553,230400,,,,,,,,,,,7e-05,5,204800,1,1,0.0010000000000000009,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,118.45,224,-2.4661448001861572,235520,7e-05,0.08,0.0015537416,0.165185546875,360,0.3095642328262329,0.15440213680267334,-1.1375794671475887,-0.000979141509742476,1.1038623870816082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,3,108.32,175,-1.0125951766967773,240640,7e-05,0.08,0.0017116632,0.15380859375,368,0.29789841175079346,0.1044844537973404,-1.127396798506379,-0.00036538536951411513,1.98350932613248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,4,104.28,162,-0.5077022314071655,245760,7e-05,0.08,0.0012124155,0.1097412109375,376,0.5459799766540527,0.058018334209918976,-1.1190508671104908,-0.0012641420413274317,1.6009530139504933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
