time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_range,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction
17,1157,686080,4,0.2,-0.019562292844057083,0.024963241,0.4533601403236389,0.0003,1330,-0.5221015259623527,-0.030223375409841536,0.11245715567842125,0.1826171875
23,1089,691200,5,0.2,-0.009519986808300018,0.024816731,0.4651075005531311,0.0003,1340,-0.5323525935411453,-0.03131553054554388,0.14610215600579976,0.20953125
28,1081,696320,6,0.2,-0.02641821652650833,0.023507062,0.40410178899765015,0.0003,1350,-0.5327643950283527,-0.03196928056422621,0.15219224695116282,0.178515625
33,1065,701440,7,0.2,-0.006517451256513596,0.028710604,0.04985767602920532,0.0003,1360,-0.5294112004339695,-0.02784051075577736,0.15163708806037904,0.18560546875
38,1052,706560,8,0.2,-0.02598603442311287,0.025610203,0.06111586093902588,0.0003,1370,-0.5670863845944405,-0.02931109881727025,0.10781387817114592,0.1917578125
44,1031,711680,9,0.2,-0.028036348521709442,0.027678648,0.16411906480789185,0.0003,1380,-0.601647500693798,-0.02876727104652673,0.11537955025210976,0.21126953125
50,1013,716800,10,0.2,-0.012884773313999176,0.024419662,0.15658313035964966,0.0003,1390,-0.5691659200191498,-0.033183377588866275,0.11768560077995062,0.18791015625
2,2031,721920,1,0.2,-0.025764677673578262,0.029584572,0.4129610061645508,0.0003,1400,-0.546174496114254,-0.03462534780614078,0.0947099251486361,0.1890234375
7,1429,727040,2,0.2,-0.01624642312526703,0.026035044,0.5159684419631958,0.0003,1410,-0.5863429048657417,-0.030531005975790323,0.14503231070935726,0.19615234375
11,1326,732160,3,0.2,-0.031121548265218735,0.030238356,0.31629782915115356,0.0003,1420,-0.5418094228208065,-0.03044458673102781,0.14098474875092507,0.20896484375
16,1276,737280,4,0.2,-0.02796424925327301,0.031337216,0.3768414855003357,0.0003,1430,-0.5547833311557769,-0.034132400299422445,0.11588718552142381,0.19744140625
20,1249,742400,5,0.2,-0.04053644835948944,0.028055292,0.2297987937927246,0.0003,1440,-0.5850703281164169,-0.034454805843997745,0.1514239565655589,0.20283203125
24,1235,747520,6,0.2,-0.025236114859580994,0.025835168,0.3787534832954407,0.0003,1450,-0.577325523197651,-0.03288151375949383,0.13734905939549208,0.20841796875
29,1222,752640,7,0.2,-0.028018977493047714,0.032386944,0.11904686689376831,0.0003,1460,-0.5392583613097668,-0.03496871928218752,0.13252587091177703,0.21021484375
33,1216,757760,8,0.2,-0.027576711028814316,0.027668405,0.20088821649551392,0.0003,1470,-0.5557598057389259,-0.0332074222387746,0.11753583690151573,0.19232421875
38,1205,762880,9,0.2,-0.028901368379592896,0.030010868,0.11425399780273438,0.0003,1480,-0.5681758430600167,-0.03507625418715179,0.11133586410433054,0.219921875
42,1192,768000,10,0.2,-0.018488891422748566,0.03474741,0.2359204888343811,0.0003,1490,-0.5565092825889587,-0.0339814123371616,0.1276570283062756,0.2076953125
