time/time_elapsed,time/iterations,curriculum/grid_size,curriculum/stage,rollout/ep_rew_mean,time/total_timesteps,curriculum/obs_quantity,curriculum/stage_timesteps,train/ent_coef,rollout/ep_len_mean,time/fps,curriculum/max_steps,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/clip_fraction,eval/stage,eval/full_coverage_rate,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/std_ep_length,eval/std_reward,eval/stage_timesteps
17,4,,,7.668760299682617,1658880,,,,86.9,1198,,1615,0.0001,0.13779634594917298,-0.0030644653970375657,0.06045524775981903,0.4733983278274536,0.004373932,0.2,-0.0999533011764288,0.0326171875,,,,,,,,
22,5,,,7.50959587097168,1664000,,,,89.9,1163,,1620,0.0001,0.18540423199534417,-0.002816032599657774,0.0732087641954422,0.6909276247024536,0.007865803,0.2,-0.15634178027510642,0.0433203125,,,,,,,,
26,6,,,7.42538595199585,1669120,,,,93.46,1140,,1625,0.0001,0.15641312181949615,-0.0019551983196288347,0.08353491872549057,0.8302332162857056,0.004888028,0.2,-0.16253312006592752,0.03953125,,,,,,,,
31,7,,,7.583550453186035,1674240,,,,89.82,1148,,1630,0.0001,0.22149643152952195,-0.0027815883932635187,0.0802607387304306,0.7339916825294495,0.0052133827,0.2,-0.17246900826692582,0.044765625,,,,,,,,
35,8,,,7.454561233520508,1679360,,,,91.71,1158,,1635,0.0001,0.19540731728076935,-0.00471487598028034,0.10874494910240173,0.7980946898460388,0.005346933,0.2,-0.14395583927631378,0.0429296875,,,,,,,,
39,9,,,7.382260799407959,1684480,,,,93.46,1159,,1640,0.0001,0.17104168206453324,-0.003097537108696997,0.06945584714412689,0.8155431151390076,0.0041759345,0.2,-0.15546161450445653,0.0362109375,,,,,,,,
44,10,,,7.331122398376465,1689600,,,,92.7,1163,,1645,0.0001,0.21167742744088172,-0.0022364081488922237,0.08751090615987778,0.8394507169723511,0.006276834,0.2,-0.17830534420907498,0.0356640625,,,,,,,,
,,,,,,,,,,,,1650,0.0001,0.1770512618869543,-0.0032341044023633005,0.08716072142124176,0.8598506450653076,0.0077001043,0.2,-0.17728560104966162,0.0466015625,2,0.89,6.698572750091553,100.42,1,78.55649941284298,3.239903986389205,819200
2,1,8,2,7.487668991088867,1694720,8,819200,0.001,89.2,1715,320,,,,,,,,,,,,,,,,,,
7,2,,,7.648238658905029,1699840,,,,84.67,1426,,1655,0.0001,0.22720918640494348,-0.0028137281257659195,0.10716560482978821,0.7630252838134766,0.0032345757,0.2,-0.14749914214015006,0.0313671875,,,,,,,,
11,3,,,7.3959527015686035,1704960,,,,94.43,1368,,1660,0.0001,0.2378357058763504,-0.003318575960583985,0.14498041570186615,0.8438522815704346,0.004306784,0.2,-0.15464304834604264,0.03375,,,,,,,,
16,4,,,7.112829685211182,1710080,,,,107.76,1236,,1665,0.0001,0.3518135876953602,-0.0037302043475210666,0.15664474666118622,0.8657975196838379,0.0050928565,0.2,-0.23489759668707846,0.04265625,,,,,,,,
20,5,,,7.333162784576416,1715200,,,,99.4,1239,,1670,0.0001,0.5207782331109047,-0.0025118185114115475,0.20952704548835754,0.8106218576431274,0.004575685,0.2,-0.22659801661968232,0.03796875,,,,,,,,
24,6,,,7.490102767944336,1720320,,,,92.17,1243,,1675,0.0001,0.3721079081296921,-0.003123651943169534,0.17051662504673004,0.7239534258842468,0.0052204207,0.2,-0.1467819794267416,0.0419140625,,,,,,,,
28,7,,,7.313138484954834,1725440,,,,97.45,1256,,1680,0.0001,0.3525718949735165,-0.002694533062167466,0.15287530422210693,0.7699912190437317,0.0034164246,0.2,-0.185867490619421,0.040078125,,,,,,,,
32,8,,,7.126466751098633,1730560,,,,103.51,1261,,1685,0.0001,0.3513809025287628,-0.002720346204005182,0.1308813840150833,0.8564151525497437,0.0070257024,0.2,-0.19933688774704933,0.0526953125,,,,,,,,
36,9,,,7.082587718963623,1735680,,,,106.4,1249,,1690,0.0001,0.40164145529270173,-0.005463758497498929,0.18446582555770874,0.8508262038230896,0.006353459,0.2,-0.2501076351106167,0.056640625,,,,,,,,
41,10,,,7.271125316619873,1740800,,,,100.05,1237,,1695,0.0001,0.4162915375828743,-0.004463444827124476,0.1920512169599533,0.8230156302452087,0.006142845,0.2,-0.25234935894608496,0.0546875,,,,,,,,
,,,,,,,,,,,,1700,0.0001,0.41032312005758287,-0.00461624673102051,0.19214339554309845,0.8225796222686768,0.005328162,0.2,-0.22837892085313796,0.0580859375,2,0.82,6.004636160731316,126.31,1,96.6641293345158,3.6557801281545026,870400
3,1,8,2,7.42141056060791,1745920,8,870400,0.001,93.49,1442,320,,,,,,,,,,,,,,,,,,
7,2,,,7.435272693634033,1751040,,,,92.73,1280,,1705,0.0001,0.3825058476626873,-0.001969215990975499,0.19909065961837769,0.7790859937667847,0.0041769976,0.2,-0.18949904456734656,0.032265625,,,,,,,,
12,3,,,7.3091912269592285,1756160,,,,98.36,1255,,1710,0.0001,0.3817505192756653,-0.003191681685857475,0.18343095481395721,0.8563098311424255,0.0053686285,0.2,-0.20637036383152008,0.0416015625,,,,,,,,
16,4,,,7.185970306396484,1761280,,,,101.42,1259,,1715,0.0001,0.44074384450912474,-0.0020950416661798953,0.16947683691978455,0.7149680852890015,0.0036356512,0.2,-0.16932751432061197,0.036015625,,,,,,,,
20,5,,,7.236010551452637,1766400,,,,101.83,1268,,1720,0.0001,0.39033315002918245,-0.003156745946034789,0.17884257435798645,0.7929328680038452,0.007464475,0.2,-0.21816099420189858,0.04796875,,,,,,,,
24,6,,,7.6086955070495605,1771520,,,,88.32,1264,,1725,0.0001,0.39428294360637667,-0.0030376250017434357,0.1677214503288269,0.6822855472564697,0.0074643507,0.2,-0.15235137179493904,0.0501171875,,,,,,,,
29,7,,,7.5105390548706055,1776640,,,,86.39,1231,,1730,0.0001,0.2760324810445309,-0.0032720507960766554,0.10812779515981674,0.7488927841186523,0.006695113,0.2,-0.14265301555395127,0.0426171875,,,,,,,,
33,8,,,7.480783462524414,1781760,,,,91.95,1231,,1735,0.0001,0.2575573796033859,-0.0035406549321487547,0.14761129021644592,0.8652126789093018,0.004095654,0.2,-0.1764144156873226,0.0338671875,,,,,,,,
