cbp/utility_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,cbp/target_count,rollout/ep_rew_mean,cbp/total_replacements,cbp/last_replacements,time/fps,cbp/rollout_replacements,time/time_elapsed,train/approx_kl,train/clip_fraction,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_range,train/loss,curriculum/preferred_eval_mode,curriculum/stage,curriculum/obs_quantity,train/stage_learning_rate,curriculum/grid_size,train/ent_coef,curriculum/max_steps,curriculum/stage_timesteps,plasticity/weight_max_abs,plasticity/effective_rank_99_mean,plasticity/weight_rms,plasticity/total_weight_units,plasticity/effective_rank_99_normalized_mean,plasticity/low_weight_units,plasticity/weight_abs_mean,plasticity/low_weight_unit_ratio,eval/deterministic,eval/std_reward,eval/std_ep_length,eval/mean_reward,eval/stage,eval/stage_timesteps,eval/full_coverage_rate,eval/mean_ep_length,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/deterministic_promotion_floor,eval/stochastic_full_coverage_rate,eval/promotion_min_mean_reward
0.2743480366965135,78.03,235520,2,6,1.8249202966690063,66,0,243,0,42,0.0019403107,0.12958984375,1.8006867598742247,-1.105646652728319,-0.0017541685228934512,360,0.7529984712600708,7e-05,0.08,0.36147037148475647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2743480366965135,73.28,240640,3,6,2.4127843379974365,66,0,190,0,80,0.0064234883,0.227880859375,1.8525519034126774,-1.0962522342801093,0.0011928059495403432,368,0.7823525071144104,7e-05,0.08,1.2401491403579712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30781517922878265,74.61,245760,4,6,2.3221988677978516,72,6,172,6,118,0.0025475672,0.2375,1.4715749794151634,-1.0928070779889822,0.0016061424772487952,376,0.7921440005302429,7e-05,0.08,0.5231034755706787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30781517922878265,71.64,250880,5,6,2.1651294231414795,72,0,164,0,156,0.0016378928,0.1895751953125,1.5876935590524226,-1.0831090595573187,-0.0011925410202820786,384,0.7897437810897827,7e-05,0.08,0.6702154874801636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30781517922878265,,,,6,,72,0,,,,0.0018436376,0.1447265625,1.7927787502296268,-1.0977729089558124,-0.0017967677064007147,392,0.7191282510757446,7e-05,0.08,2.075836181640625,,,,,,,,,1.0015277862548828,124.08333333333333,0.02088787738973369,1925,0.8821614583333334,25,0.008546595132285386,0.012987012987012988,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.6653279816513487,28.775856199251486,3.1314928822033106,1,230400,0.99,64.99,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.518194130523399,76.41214824882232,3.710271062850952,1,230400,0.67,92.94,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,230400,,,0.99,0.99,0,0.31999999999999995,1,0,0,45.0,0.67,0,0.0,0.99,6.0
0.30781517922878265,70.28,256000,1,6,2.4816231727600098,72,0,1745,0,2,,,,,,,,,,,1,1,3,7e-05,5,0.0010000000000000009,200,230400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30781517922878265,70.03,261120,2,6,2.5171971321105957,72,0,240,0,42,0.0036622018,0.1744384765625,1.923111994471401,-1.0787013886496424,0.0007851485133869573,400,0.7266762256622314,7e-05,0.08,0.7019254565238953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3333220419784387,71.26,266240,3,6,2.7577788829803467,78,6,187,6,81,0.0019866657,0.1515625,1.8517433442175388,-1.0822081957012415,-0.0028445455216569828,408,0.76242995262146,7e-05,0.08,0.9440575242042542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3333220419784387,67.04,271360,4,6,2.894500732421875,78,0,170,0,120,0.001930478,0.137060546875,2.106823888607323,-1.0701290531083942,-0.002182471367996186,416,0.7559012770652771,7e-05,0.08,0.33419424295425415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3333220419784387,64.54,276480,5,6,3.2404022216796875,78,0,160,0,159,0.0021252981,0.172265625,2.095862988661975,-1.0445073086768388,-0.0019706314196810126,424,0.7560857534408569,7e-05,0.08,0.8689160943031311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3333220419784387,,,,6,,78,0,,,,0.0018505829,0.1807861328125,1.527861667238176,-1.0275580143555998,-0.0016936216299654916,432,0.748632550239563,7e-05,0.08,1.012094259262085,,,,,,,,,0.9970258474349976,120.0,0.01987276511025096,1925,0.8662109375,34,0.007918899105812591,0.017662337662337664,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.2628241529455817,22.457237140841702,3.8782487876713274,1,256000,1.0,58.35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.6996862300671993,47.73158702578409,6.156463626623154,1,256000,0.91,50.66,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,256000,,,1.0,1.0,0,0.08999999999999997,1,0,0,45.0,0.91,0,0.0,1.0,6.0
