rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,curriculum/preferred_eval_mode,curriculum/stage_timesteps,curriculum/max_steps,train/ent_coef,curriculum/stage,curriculum/grid_size,curriculum/obs_quantity,train/stage_learning_rate,eval/std_ep_length,eval/std_reward,eval/mean_reward,eval/mean_ep_length,eval/full_coverage_rate,eval/stage_timesteps,eval/deterministic,eval/stage,eval/deterministic_promotion_floor,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/coverage_promotion_passed,eval/promotion_min_mean_reward,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/promotion_max_mean_length,eval/quality_promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_quality_passed,eval/stochastic_quality_passed,eval/promotion_full_coverage_rate
,,,,,,,,,,,,,,,,,,,,,,,,59.780942615519194,6.190578990496644,5.261322972774505,59.17,0.85,102400,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102400,,1,0.0,0.98,0,0,6.75,0.98,0.13,32.5,0,0.85,0,0,0.98
6.555323600769043,1,125440,2099,1,59.45,,,,,,,,,,,1,102400,200,0.0010000000000000009,1,5,3,7e-05,,,,,,,,,,,,,,,,,,,,,
6.732233047485352,2,128000,440,11,54.17,0.3644835352897644,215,0.15,0.009008918,0.2508500563961111,7e-05,-0.7562247240229657,0.16395970394736842,0.000519772967029559,0.19903284311294556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.852811813354492,3,130560,571,13,52.35,0.41522711515426636,216,0.15,0.012598504,0.2306570006268365,7e-05,-0.7078532832009452,0.17857142857142858,0.002645342211638178,0.17866183817386627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.803606986999512,4,133120,380,26,55.39,0.5201820135116577,221,0.15,0.01005886,0.2357881896942854,7e-05,-0.7274461418390274,0.1521875,-0.0023653547279536722,0.10741108655929565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.993578910827637,5,135680,386,33,48.98,0.4723331928253174,224,0.15,0.019888872,0.2085229331119494,7e-05,-0.7045441987839612,0.15855823863636365,0.002673129805109718,0.12050014734268188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.055783748626709,6,138240,433,35,45.7,0.41261279582977295,225,0.15,0.006045953,0.32990633975714445,7e-05,-0.6717021663983663,0.08463541666666667,0.001368120623131593,0.8007115721702576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.002568244934082,7,140800,465,38,48.68,0.4149512052536011,226,0.15,0.0076955548,0.10713949447704686,7e-05,-0.6681594782405429,0.1501736111111111,0.004160361105783118,0.16673825681209564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.983987808227539,8,143360,436,46,48.78,0.5691202878952026,230,0.15,0.022946468,0.14791170614106314,7e-05,-0.6680532551947094,0.14719742063492064,0.0020432151883604034,0.1422450989484787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.136300563812256,9,145920,437,52,46.05,0.5688391923904419,233,0.15,0.015851552,0.12131242149255493,7e-05,-0.6307249448516152,0.13600852272727273,0.0010360335423187776,0.09265835583209991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.191193103790283,10,148480,390,65,45.1,0.5837409496307373,238,0.15,0.007340153,0.13498184375464917,7e-05,-0.6130397343635559,0.131796875,-0.005391719713807106,0.03489507734775543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.980590343475342,11,151040,397,70,48.32,0.6554151773452759,241,0.15,0.054848075,0.1406869403109318,7e-05,-0.6272344981751791,0.13833841463414634,0.0006346318916213222,0.11226427555084229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.006420135498047,12,153600,417,73,48.26,0.7290185689926147,242,0.15,0.005558015,0.13033066294156015,7e-05,-0.6016369536519051,0.07763671875,0.008382461499422789,0.07915864884853363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.250482082366943,13,156160,435,76,44.37,0.6482619047164917,243,0.15,0.007202488,0.15436361874971125,7e-05,-0.6068699061870575,0.1267361111111111,0.008159756867421998,0.16802412271499634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.871675968170166,14,158720,412,86,49.87,0.46929436922073364,248,0.15,0.013123956,0.14788153065213314,7e-05,-0.5856847418472171,0.14705403645833334,0.00013606500579044223,0.13894760608673096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.53939151763916,15,161280,431,89,52.77,0.6830849647521973,249,0.15,0.009654611,0.23345507370928922,7e-05,-0.5985299448172251,0.14192708333333334,0.008386583300307393,0.3923516869544983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.831721782684326,16,163840,437,93,50.31,0.5552084445953369,251,0.15,0.016208652,0.2195988387933799,7e-05,-0.6173403518540519,0.15424107142857144,0.008959605571414743,0.5855411291122437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0799994468688965,17,166400,419,103,46.88,0.5866693258285522,256,0.15,0.01722525,0.17148147117760446,7e-05,-0.5747334463728799,0.1484375,-0.0032966202021472986,0.24086320400238037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.332818031311035,18,168960,431,106,40.64,0.5881211161613464,258,0.15,0.02161426,0.1942361858487129,7e-05,-0.5613481736183167,0.1434375,0.008618556521832943,0.6283450722694397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.31619930267334,19,171520,439,110,40.51,0.5576260089874268,260,0.15,0.008799505,0.11981390179558234,7e-05,-0.514536075519793,0.14015151515151514,0.0024417342448776417,0.3611965775489807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.194886684417725,20,174080,443,115,44.2,0.6772829294204712,263,0.15,0.034530975,0.08777790457555433,7e-05,-0.5154910480103841,0.1248094512195122,0.00013563795605810676,0.10511380434036255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.6295658946037292,265,0.15,0.007219273,0.2030452836690278,7e-05,-0.510860481138887,0.12311422413793104,0.004454166210930923,0.24923226237297058,,,,,,,,,24.495501627849958,0.7456223986225672,7.293227014541626,42.52,1.0,153600,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,58.5003418793429,4.663007519362552,5.841829352378845,56.1,0.86,153600,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,,1,0.0,1.0,1,1,6.75,1.0,0.14,32.5,0,0.86,0,0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,29.873205385428594,1.6967233100895602,7.1047156715393065,46.46,0.98,153600,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,63.313482766311324,6.76245615562403,4.938629474639892,61.23,0.83,153600,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153600,,1,0.0,0.98,0,0,6.75,0.98,0.15000000000000002,32.5,0,0.83,0,0,0.98
7.1738457679748535,1,176640,2238,1,45.25,,,,,,,,,,,1,153600,200,0.0010000000000000009,1,5,3,7e-05,,,,,,,,,,,,,,,,,,,,,
7.0111470222473145,2,179200,1051,4,48.14,0.6909797191619873,267,0.15,0.02820467,0.1994668903450171,7e-05,-0.5311448288460573,0.1123046875,0.005851476298024257,0.44300153851509094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.103949069976807,3,181760,1011,7,46.07,0.7424519062042236,268,0.15,0.008552162,0.1413521676191262,7e-05,-0.5349413475819996,0.13002232142857142,0.005632314431880202,0.07821525633335114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2914252281188965,4,184320,849,12,41.39,0.6664802432060242,270,0.15,0.010895329,0.1638062770533211,7e-05,-0.5016550097395392,0.12247242647058823,0.0037162691793021035,0.23291511833667755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.209369659423828,5,186880,549,23,44.29,0.7844817638397217,275,0.15,0.00980871,0.10503850542008877,7e-05,-0.4680513682961464,0.12609375,-0.0011138675548136234,0.03311370685696602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
