time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,curriculum/max_steps,train/loss,curriculum/obs_quantity,train/explained_variance,train/stage_learning_rate,curriculum/stage_timesteps,train/value_loss,train/learning_rate,curriculum/preferred_eval_mode,train/ent_coef,train/policy_gradient_loss,train/n_updates,train/clip_range,curriculum/stage,curriculum/grid_size,train/clip_fraction,train/entropy_loss,eval/mean_reward,eval/mean_ep_length,eval/std_ep_length,eval/deterministic,eval/stage,eval/stage_timesteps,eval/full_coverage_rate,eval/std_reward,eval/promotion_min_mean_reward,eval/deterministic_quality_passed,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/mode_gap,eval/coverage_promotion_passed,eval/promotion_passed,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/stochastic_quality_passed
,,,,,,,,,,,,,,,,,,,,,,,,2.660641164109111,214.73,118.98360013043816,1,2,153600,0.44,4.676886398493749,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,153600,,,6.75,0,0,83.2,0.49999999999999994,0,0,0.44,0.48,0.94,0.94,0.94,0
1,7.198175430297852,3,123.88,1688,271360,,320,,8,,0.00015000000000000001,153600,,,1,0.006416,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,
2,7.287179470062256,9,120.96,1056,276480,0.006126145,,0.14008259773254395,,0.16351765394210815,,,0.32499204844236373,0.00015000000000000001,,,-0.0007529241964221,265,0.2,,,0.0659765625,-0.3239696043729782,,,,,,,,,,,,,,,,,,,,,
3,7.299850940704346,15,120.85,979,281600,0.010549146,,0.15628622472286224,,0.2808409333229065,,,0.3012065413594246,0.00015000000000000001,,,-0.001681249151006341,270,0.2,,,0.0774609375,-0.33811946243047714,,,,,,,,,,,,,,,,,,,,,
4,7.170103549957275,21,127.32,940,286720,0.007761527,,0.1116727739572525,,0.34624505043029785,,,0.31818308055400846,0.00015000000000000001,,,-0.0025210301973856986,275,0.2,,,0.0709375,-0.32008243441581724,,,,,,,,,,,,,,,,,,,,,
5,7.367747783660889,27,120.17,919,291840,0.008000544,,0.13667497038841248,,0.2636290192604065,,,0.29086467534303667,0.00015000000000000001,,,-0.0009950632601976395,280,0.2,,,0.0759375,-0.3251250022649765,,,,,,,,,,,,,,,,,,,,,
6,7.2418341636657715,33,120.66,906,296960,0.007184431,,0.1193123608827591,,0.2518991231918335,,,0.2733497892320156,0.00015000000000000001,,,-0.0021284721745178105,285,0.2,,,0.069453125,-0.32074438631534574,,,,,,,,,,,,,,,,,,,,,
7,6.988691806793213,39,128.39,897,302080,0.0071227127,,0.11102344840765,,0.3666532635688782,,,0.2704428654909134,0.00015000000000000001,,,-0.00466800419613719,290,0.2,,,0.08421875,-0.33215625047683717,,,,,,,,,,,,,,,,,,,,,
8,7.035088539123535,46,128.7,886,307200,0.0063513294,,0.11175373196601868,,0.31129729747772217,,,0.33420636877417564,0.00015000000000000001,,,-0.001978365918621421,295,0.2,,,0.0687109375,-0.3174042111635208,,,,,,,,,,,,,,,,,,,,,
9,7.250174522399902,52,126.15,880,312320,0.005514661,,0.11650988459587097,,0.4551693797111511,,,0.3042795355618,0.00015000000000000001,,,-0.0016729944758117198,300,0.2,,,0.066875,-0.3132617446780205,,,,,,,,,,,,,,,,,,,,,
10,7.435184955596924,58,119.29,876,317440,0.0075054416,,0.14564043283462524,,0.28347617387771606,,,0.3144736981391907,0.00015000000000000001,,,-0.0027078292053192856,305,0.2,,,0.07875,-0.29924836367368696,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.007341211,,0.12123394012451172,,0.12681549787521362,,,0.2507173278927803,0.00015000000000000001,,,-0.0015054217539727688,310,0.2,,,0.065078125,-0.27311005488038065,7.033688721060753,130.56,68.19374164833603,0,2,204800,0.95,1.9682130103600275,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3.1028016908466816,205.29,117.44362860538666,1,2,204800,0.49,4.6877893588507495,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,204800,,,6.75,0,0,83.2,0.45999999999999996,0,0,0.49,0.48,0.95,0.95,0.95,0
1,7.578447341918945,2,107.28,1745,322560,,320,,8,,0.00017500000000000003,204800,,,1,0.006221333333333334,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,
2,7.37812614440918,9,114.4,1102,327680,0.0058624996,,0.0949137881398201,,0.35229575634002686,,,0.2418169479072094,0.00017500000000000003,,,0.0011488874210044742,315,0.2,,,0.0701171875,-0.2783571271598339,,,,,,,,,,,,,,,,,,,,,
3,7.081375598907471,15,124.16,999,332800,0.0102885235,,0.09060467779636383,,0.30621349811553955,,,0.25121037289500237,0.00017500000000000003,,,-0.0026946981064975262,320,0.2,,,0.0780078125,-0.2718138615787029,,,,,,,,,,,,,,,,,,,,,
4,6.905181884765625,21,129.46,959,337920,0.007374277,,0.10815443843603134,,0.2978404760360718,,,0.23104529201984406,0.00017500000000000003,,,-0.0014208562579005957,325,0.2,,,0.0644140625,-0.28430561408400534,,,,,,,,,,,,,,,,,,,,,
5,7.009540557861328,27,130.63,938,343040,0.011516385,,0.09890327602624893,,0.37634098529815674,,,0.2434629252552986,0.00017500000000000003,,,-0.00459512404166162,330,0.2,,,0.0805078125,-0.28884194895625115,,,,,,,,,,,,,,,,,,,,,
6,6.850282192230225,33,133.51,922,348160,0.008340667,,0.12097092717885971,,0.3711252212524414,,,0.2823726777732372,0.00017500000000000003,,,-0.001859442088752985,335,0.2,,,0.0665625,-0.25710918739438055,,,,,,,,,,,,,,,,,,,,,
7,7.138364315032959,39,123.5,913,353280,0.005308087,,0.11069319397211075,,0.4529579281806946,,,0.27156178891658783,0.00017500000000000003,,,-0.0009654275001958013,340,0.2,,,0.05046875,-0.26493655517697334,,,,,,,,,,,,,,,,,,,,,
8,7.078126907348633,45,123.73,905,358400,0.005732089,,0.13255037367343903,,-0.019525527954101562,,,0.25338521659374236,0.00017500000000000003,,,0.00043901062570512295,345,0.2,,,0.0553125,-0.27122130498290065,,,,,,,,,,,,,,,,,,,,,
9,6.936406135559082,51,125.19,898,363520,0.0052017765,,0.10425422340631485,,0.379330575466156,,,0.23236010298132898,0.00017500000000000003,,,-0.00016653486527502538,350,0.2,,,0.0609375,-0.27563521832227705,,,,,,,,,,,,,,,,,,,,,
