time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss
1,11013120,2,2115,21500,0.085298404,0.330390625,0.2,0.0003,-0.046235091984272,0.4203715920448303,-0.5750687962770462,-0.03208079733420163,0.1261320281215012
2,11018240,7,1315,21510,0.09034738,0.31876953125,0.2,0.0003,-0.028262604027986526,0.32797276973724365,-0.5600751939415932,-0.031762419168371706,0.12270901363343001
3,11023360,12,1197,21520,0.08698726,0.33728515625,0.2,0.0003,-0.03531855717301369,0.4718393087387085,-0.5776312911510467,-0.03671239141374826,0.14325358361005783
4,11028480,17,1143,21530,0.078097984,0.32095703125,0.2,0.0003,-0.04223739728331566,0.3737512230873108,-0.566220383644104,-0.03807833470869809,0.12574164008721708
5,11033600,22,1114,21540,0.08150461,0.33912109375,0.2,0.0003,-0.04240460693836212,0.436509907245636,-0.6102539324760436,-0.03717999143525958,0.13751382002606988
6,11038720,28,1095,21550,0.09592741,0.33982421875,0.2,0.0003,-0.057190731167793274,0.43633127212524414,-0.5832359528541565,-0.036003606012091044,0.11867428442463279
7,11043840,33,1082,21560,0.0859211,0.3400390625,0.2,0.0003,-0.05129549652338028,0.5431568622589111,-0.6034705993533135,-0.03437833525706083,0.11359471438452601
8,11048960,38,1069,21570,0.09095786,0.349921875,0.2,0.0003,-0.0463787242770195,0.5615375638008118,-0.6130215814709663,-0.03521844619419426,0.12779448105022312
9,11054080,43,1062,21580,0.09337011,0.32884765625,0.2,0.0003,-0.04238370805978775,0.5700507760047913,-0.5592781838774681,-0.03525599994231016,0.10961660120636224
10,11059200,48,1055,21590,0.09765379,0.3291796875,0.2,0.0003,-0.030783409252762794,0.508686900138855,-0.5107689544558525,-0.03436747346073389,0.11381374487653374
1,11064320,2,2075,21600,0.09238982,0.33955078125,0.2,0.0003,-0.042191483080387115,0.47302794456481934,-0.5618718722462654,-0.03465003058314323,0.1124001244828105
2,11069440,8,1229,21610,0.09244044,0.338203125,0.2,0.0003,-0.032848455011844635,0.561471700668335,-0.5481940673291683,-0.03358313855715096,0.09474164828658103
3,11074560,13,1143,21620,0.07415739,0.31787109375,0.2,0.0003,-0.03274024277925491,0.4605861306190491,-0.5549635103344918,-0.033800666905008256,0.09146590486168861
4,11079680,18,1108,21630,0.08948649,0.32943359375,0.2,0.0003,-0.03586428612470627,0.46334320306777954,-0.5396714068949222,-0.033831704948097466,0.10568423757329583
5,11084800,23,1087,21640,0.09558744,0.33181640625,0.2,0.0003,-0.04014825075864792,0.5700769424438477,-0.5557117232680321,-0.033409218685701486,0.11837263569235802
6,11089920,28,1072,21650,0.08645738,0.3342578125,0.2,0.0003,-0.03792333975434303,0.6171342134475708,-0.5878491282463074,-0.03495284995529801,0.09919178204610944
7,11095040,33,1061,21660,0.07980321,0.32765625,0.2,0.0003,-0.03694838657975197,0.5975208282470703,-0.5627260333299637,-0.03505263996776194,0.13472175143659115
8,11100160,39,1044,21670,0.09563315,0.33275390625,0.2,0.0003,-0.05286695435643196,0.6322083473205566,-0.565826955139637,-0.03408610090147704,0.10712900508195161
9,11105280,44,1032,21680,0.14066048,0.3379296875,0.2,0.0003,-0.07033351063728333,0.6467533111572266,-0.5467286549508572,-0.03777902096509934,0.11358191762119532
10,11110400,49,1024,21690,0.08271115,0.31099609375,0.2,0.0003,-0.0516909621655941,0.4566846489906311,-0.5036298668384552,-0.035911106276325884,0.10206210914999246
1,11115520,2,2095,21700,0.0845915,0.3317578125,0.2,0.0003,-0.0477813258767128,0.5502188205718994,-0.5723974514007568,-0.03976544324774295,0.0974227193556726
2,11120640,7,1302,21710,0.08747641,0.319609375,0.2,0.0003,-0.05593524128198624,0.6187431812286377,-0.5367426346242428,-0.037434910400770606,0.10115921702235937
3,11125760,12,1184,21720,0.08482029,0.3073828125,0.2,0.0003,-0.05097419023513794,0.6416019201278687,-0.536779053658247,-0.037818715979810805,0.0981397476233542
4,11130880,18,1122,21730,0.0869162,0.34291015625,0.2,0.0003,-0.05097001791000366,0.6694972515106201,-0.5832313799858093,-0.03948731423355639,0.09141731491312384
5,11136000,23,1087,21740,0.07852063,0.3227734375,0.2,0.0003,-0.021198291331529617,0.5167820453643799,-0.552113828510046,-0.03503837834578007,0.11651664353907108
6,11141120,28,1065,21750,0.08047937,0.32923828125,0.2,0.0003,-0.027355043217539787,0.5600717067718506,-0.55651457503438,-0.03416499645449221,0.11993607683107257
7,11146240,34,1050,21760,0.0865698,0.3217578125,0.2,0.0003,-0.030621079728007317,0.4596160650253296,-0.5453159421682358,-0.03320507358759642,0.11051492709666491
8,11151360,39,1034,21770,0.07801865,0.31923828125,0.2,0.0003,-0.056585781276226044,0.511316180229187,-0.5592703312635422,-0.03695521337562241,0.12021978748962284
9,11156480,45,1020,21780,0.09488623,0.32330078125,0.2,0.0003,-0.0457606166601181,0.42077165842056274,-0.5468364368379116,-0.03406214046757668,0.12633332666009664
10,11161600,50,1004,21790,0.08470174,0.33564453125,0.2,0.0003,-0.039101190865039825,0.5788979530334473,-0.5779420202970504,-0.03283862649230287,0.1301371485926211
1,11166720,2,2040,21800,0.07716493,0.3229296875,0.2,0.0003,-0.0438058003783226,0.6595687866210938,-0.5633795490860939,-0.03494361483724788,0.12332147208973765
2,11171840,7,1288,21810,0.07394082,0.31685546875,0.2,0.0003,-0.044235676527023315,0.6423654556274414,-0.5808052077889443,-0.03595503207296133,0.13876061091199518
3,11176960,13,1150,21820,0.08330908,0.31908203125,0.2,0.0003,-0.032472528517246246,0.5966507196426392,-0.5872004091739654,-0.035234972704201936,0.16097603222355247
4,11182080,18,1082,21830,0.09354828,0.3162109375,0.2,0.0003,-0.03376191854476929,0.6631309986114502,-0.5303209882974624,-0.035938549116253854,0.1410075028054416
5,11187200,24,1053,21840,0.07756536,0.29533203125,0.2,0.0003,-0.041009075939655304,0.48721444606781006,-0.5227262660861015,-0.035914021814242005,0.13168561862781644
6,11192320,29,1042,21850,0.08809604,0.31650390625,0.2,0.0003,-0.03257445991039276,0.5417678356170654,-0.5354456059634686,-0.032920997561886906,0.14583565149456262
7,11197440,34,1040,21860,0.07976401,0.325,0.2,0.0003,-0.05422334000468254,0.4405423402786255,-0.5985211235284805,-0.03861318373121321,0.10872228803113103
8,11202560,39,1036,21870,0.08353425,0.32244140625,0.2,0.0003,-0.048668622970581055,0.667849600315094,-0.564888940602541,-0.03599662557709962,0.11295026153326035
9,11207680,44,1032,21880,0.07931795,0.309921875,0.2,0.0003,-0.03444777801632881,0.5947983860969543,-0.5372301967442036,-0.03415454649366438,0.10322609381750227
10,11212800,49,1031,21890,0.09112405,0.33162109375,0.2,0.0003,-0.056394077837467194,0.6578785181045532,-0.5939003771543503,-0.03542222005780786,0.09563606744632125
1,11217920,2,2158,21900,0.08569525,0.31650390625,0.2,0.0003,-0.036304719746112823,0.6865053176879883,-0.542211991250515,-0.03699776583351195,0.1128855923935771
2,11223040,7,1346,21910,0.078944676,0.3281640625,0.2,0.0003,-0.03546054661273956,0.5872193574905396,-0.5890050169825554,-0.0331243512686342,0.11277521412819624
3,11228160,12,1215,21920,0.09531623,0.33111328125,0.2,0.0003,-0.04148761183023453,0.4629296660423279,-0.5337348799407482,-0.03366698413388804,0.12526977298781275
4,11233280,17,1157,21930,0.10313092,0.34556640625,0.2,0.0003,-0.020783279091119766,0.3276546597480774,-0.5861549347639083,-0.038044977649115026,0.09948506847023963
5,11238400,22,1124,21940,0.09823249,0.35595703125,0.2,0.0003,-0.041259411722421646,0.4557260274887085,-0.6197280645370483,-0.035765351806767286,0.09143782022409142
6,11243520,27,1104,21950,0.094852254,0.33736328125,0.2,0.0003,-0.06980631500482559,0.46767884492874146,-0.5654139444231987,-0.03525274557061493,0.10221393487416208
7,11248640,32,1089,21960,0.08085947,0.33763671875,0.2,0.0003,-0.051583271473646164,0.5556409358978271,-0.5812686508893967,-0.038503085593692955,0.09037166642025113
8,11253760,37,1077,21970,0.08907633,0.33888671875,0.2,0.0003,-0.0534958690404892,0.4926726818084717,-0.5936474874615669,-0.04064252138137817,0.10258769737556576
9,11258880,43,1069,21980,0.07631226,0.332734375,0.2,0.0003,-0.055243343114852905,0.5648003816604614,-0.5952806594967842,-0.039308338167611506,0.1074547734297812
10,11264000,48,1063,21990,0.08198623,0.33431640625,0.2,0.0003,-0.04256730526685715,0.3526657819747925,-0.5908978447318077,-0.03909452352207154,0.1128642481006682
1,11269120,2,2115,22000,0.07790991,0.3222265625,0.2,0.0003,-0.026017744094133377,0.5175381898880005,-0.5806376968324184,-0.03587820691522211,0.09215611893683671
2,11274240,7,1314,22010,0.080698535,0.32517578125,0.2,0.0003,-0.06617891043424606,0.5256545543670654,-0.5520241232216359,-0.039875937565229835,0.10614259246736765
3,11279360,12,1185,22020,0.09102654,0.29859375,0.2,0.0003,-0.054916515946388245,0.6062173843383789,-0.4978382743895054,-0.03589301240630448,0.10254695588722824
4,11284480,18,1130,22030,0.076681145,0.313203125,0.2,0.0003,-0.046700045466423035,0.6608896255493164,-0.5673493200540543,-0.036610710192471745,0.10847163885831833
5,11289600,23,1093,22040,0.07171099,0.3048828125,0.2,0.0003,-0.033403944224119186,0.6089073419570923,-0.5501684935390949,-0.03574544946430251,0.1319594779238105
6,11294720,28,1069,22050,0.082225814,0.296015625,0.2,0.0003,-0.035220298916101456,0.5291745066642761,-0.49814850464463234,-0.031085747918114068,0.10786997437477112
7,11299840,34,1049,22060,0.07132681,0.308984375,0.2,0.0003,-0.023528244346380234,0.5032435655593872,-0.5620999689400196,-0.035938957545440645,0.14804443381726742
8,11304960,39,1032,22070,0.08533566,0.32501953125,0.2,0.0003,-0.051233626902103424,0.6233905553817749,-0.591598045527935,-0.030269186245277524,0.10610495941713452
9,11310080,45,1018,22080,0.08659332,0.32669921875,0.2,0.0003,-0.05198737606406212,0.6419153213500977,-0.5815272092819214,-0.03546891347737983,0.12682805430144073
10,11315200,50,1005,22090,0.08359496,0.29650390625,0.2,0.0003,-0.01599607802927494,0.6653460264205933,-0.5184956654906273,-0.03594575077760965,0.14313791474327445
1,11320320,3,1654,22100,0.08371551,0.316328125,0.2,0.0003,-0.0227762870490551,0.6026895642280579,-0.5607300014793872,-0.03171119543723762,0.14859550200402738
2,11325440,8,1158,22110,0.0719189,0.2919140625,0.2,0.0003,-0.029661431908607483,0.6207712888717651,-0.5399591340124608,-0.03303838953142986,0.1930188837647438
3,11330560,14,1039,22120,0.08615114,0.31337890625,0.2,0.0003,-0.03235379979014397,0.5895299911499023,-0.5213788510859012,-0.03278864684747532,0.12768131630495191
4,11335680,20,989,22130,0.07683699,0.3180859375,0.2,0.0003,-0.030251257121562958,0.6840488910675049,-0.5802625864744186,-0.031233033849857747,0.12994239959865808
5,11340800,26,960,22140,0.07960248,0.30923828125,0.2,0.0003,-0.03624185919761658,0.5533892512321472,-0.5540039341151715,-0.0346976630622521,0.14641563419252634
6,11345920,32,936,22150,0.08094825,0.31240234375,0.2,0.0003,-0.05044521018862724,0.5429621934890747,-0.5794261607527733,-0.03567097637336701,0.1626922362484038
7,11351040,38,923,22160,0.09211399,0.31595703125,0.2,0.0003,-0.04317738860845566,0.5146563053131104,-0.5739282029867172,-0.03430465556681156,0.13985383465886117
8,11356160,44,913,22170,0.08806704,0.3265234375,0.2,0.0003,-0.04575701430439949,0.5162970423698425,-0.5719020229578018,-0.03646942347986624,0.10137655638158322
9,11361280,50,909,22180,0.08209434,0.312109375,0.2,0.0003,-0.019425127655267715,0.614762544631958,-0.5581148782372475,-0.03365809882525354,0.13245154436677695
10,11366400,56,906,22190,0.09511818,0.32876953125,0.2,0.0003,-0.023789498955011368,0.5495408177375793,-0.5666374343633652,-0.03491990990471095,0.12520000968128442
1,11371520,2,2090,22200,0.08463722,0.32689453125,0.2,0.0003,-0.029666464775800705,0.4325407147407532,-0.5743713602423668,-0.03567109154071659,0.12344938976690173
2,11376640,8,1261,22210,0.08159536,0.31333984375,0.2,0.0003,-0.059194907546043396,0.5261349081993103,-0.5483986619114876,-0.036953943073749544,0.11325979238376022
3,11381760,13,1163,22220,0.078472264,0.30400390625,0.2,0.0003,-0.03944689780473709,0.5236613154411316,-0.5563138549029827,-0.037584028653800484,0.1467855577915907
4,11386880,18,1120,22230,0.08165469,0.3069921875,0.2,0.0003,-0.05075779929757118,0.6111165285110474,-0.5195754116773605,-0.03610420831944793,0.11796352060511708
5,11392000,23,1097,22240,0.08330646,0.300546875,0.2,0.0003,-0.01257232017815113,0.6120717525482178,-0.5385125987231731,-0.03136447797063738,0.12332707898691296
6,11397120,28,1079,22250,0.08869037,0.31052734375,0.2,0.0003,-0.05234856158494949,0.5416072010993958,-0.540446031987667,-0.03226908155251294,0.13545287355780603
7,11402240,33,1069,22260,0.075210705,0.30392578125,0.2,0.0003,-0.006860570982098579,0.6358769536018372,-0.5476722386479378,-0.03400805208366364,0.1278218780644238
8,11407360,38,1060,22270,0.09631713,0.301875,0.2,0.0003,-0.05467822402715683,0.5724203586578369,-0.524195197224617,-0.037639008143451065,0.11324208289384842
9,11412480,43,1055,22280,0.08752378,0.31123046875,0.2,0.0003,-0.0426359586417675,0.6320561170578003,-0.5452146315574646,-0.03611933279316872,0.12875385088846086
10,11417600,48,1048,22290,0.075904265,0.314921875,0.2,0.0003,-0.042668938636779785,0.7394591569900513,-0.5449414317309856,-0.03668650959385559,0.12599323341622948
1,11422720,2,2123,22300,0.08409631,0.31748046875,0.2,0.0003,-0.03619113191962242,0.6449613571166992,-0.5404535944759846,-0.034756424040533605,0.11642515221610665
2,11427840,7,1330,22310,0.091245644,0.3091796875,0.2,0.0003,-0.008064649999141693,0.4637570381164551,-0.5195090982317925,-0.031032678245101124,0.16402725126594306
3,11432960,12,1196,22320,0.08964262,0.32677734375,0.2,0.0003,-0.023710038512945175,0.7065564393997192,-0.5582935175299645,-0.03458559657679871,0.13005333330482244
4,11438080,18,1126,22330,0.0840037,0.3180859375,0.2,0.0003,-0.04806755110621452,0.6522485017776489,-0.5595340900123119,-0.03623263840097934,0.12013493278995156
5,11443200,23,1089,22340,0.0962892,0.326875,0.2,0.0003,-0.0530758798122406,0.6355413198471069,-0.5479104462265968,-0.03706188747426495,0.11891063055023551
6,11448320,28,1067,22350,0.0864719,0.31138671875,0.2,0.0003,-0.027792468667030334,0.6277642250061035,-0.5054758387804031,-0.03417944934219122,0.09946292523294688
7,11453440,33,1054,22360,0.09199911,0.3280078125,0.2,0.0003,-0.036650680005550385,0.5180411338806152,-0.5702284270524979,-0.03433084864169359,0.12841683872044085
8,11458560,39,1041,22370,0.09870057,0.3277734375,0.2,0.0003,-0.03209119290113449,0.5143260359764099,-0.5263044491410256,-0.036655587635468695,0.11142752701416611
9,11463680,44,1037,22380,0.08958235,0.32236328125,0.2,0.0003,-0.03216404467821121,0.6792902946472168,-0.5662811347842216,-0.035401276603806764,0.11288402969017625
10,11468800,49,1032,22390,0.089690365,0.336328125,0.2,0.0003,-0.05974818766117096,0.7192447185516357,-0.6104223540425301,-0.03790958556346595,0.09834021957591176
1,11473920,2,2093,22400,0.08628695,0.325234375,0.2,0.0003,-0.04088270291686058,0.729293942451477,-0.5882264426350594,-0.035129414896946404,0.115593540687114
