time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/ent_coef,train/clip_fraction,train/explained_variance,curriculum/preferred_eval_mode,train/stage_learning_rate,train/loss,train/entropy_loss,curriculum/max_steps,curriculum/obs_quantity,train/learning_rate,curriculum/stage_timesteps,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,curriculum/grid_size,curriculum/stage,eval/full_coverage_rate,eval/mean_ep_length,eval/stage,eval/std_reward,eval/deterministic,eval/std_ep_length,eval/mean_reward,eval/stage_timesteps,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/promotion_passed,eval/diagnostic_full_coverage_rate
,,,,,,,,,,,,,,,,,,,,,,,,1.0,32.58,1,0.2169682988323186,0,11.857638888075485,7.6161475229263305,204800,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.71,76.4,1,5.029490448317068,1,79.05909182377445,4.511204853057861,204800,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,204800,0.29000000000000004,0.71,0.792,1.0,1.0,0,1.0
1,1398,7.510210037231445,215040,34.73,3,,0.0010000000000000009,,,1,0.0001,,,200,3,,204800,,,,,5,1,,,,,,,,,,,,,,,
2,951,7.066299915313721,220160,41.85,10,0.2,,0.073671875,0.6249149441719055,,,0.034356001764535904,-0.3347546774148941,,,0.0001,,209,-0.003932992508634925,0.0066288477,0.10816460855305195,,,,,,,,,,,,,,,,,
3,864,7.528942108154297,225280,33.3,17,0.2,,0.0628515625,0.6798622608184814,,,0.0484333261847496,-0.3766175302863121,,,0.0001,,214,-0.002274244981817901,0.006811184,0.12900361858308315,,,,,,,,,,,,,,,,,
4,832,7.44489860534668,230400,34.54,24,0.2,,0.06171875,0.6774161458015442,,,0.03280793875455856,-0.3306528431177139,,,0.0001,,219,-0.0029724225495010616,0.0064287065,0.12265075698494911,,,,,,,,,,,,,,,,,
5,825,7.546755790710449,235520,34.77,31,0.2,,0.058671875,0.7503514885902405,,,0.0558704175055027,-0.3492228901386261,,,0.0001,,224,-0.0021047268831171097,0.00643115,0.11793112173676491,,,,,,,,,,,,,,,,,
6,815,7.558352470397949,240640,32.1,37,0.2,,0.055,0.7167686223983765,,,0.04105339199304581,-0.3288645777106285,,,0.0001,,229,-0.00255092688370496,0.0054494515,0.10963097654283047,,,,,,,,,,,,,,,,,
7,812,7.483675956726074,245760,34.75,44,0.2,,0.0566796875,0.7243093252182007,,,0.06246098130941391,-0.34644953459501265,,,0.0001,,234,-0.00438409878872335,0.005547118,0.12902929998934268,,,,,,,,,,,,,,,,,
8,809,7.513436317443848,250880,33.25,50,0.2,,0.0733203125,0.7485595345497131,,,0.07730042934417725,-0.34842607617378235,,,0.0001,,239,-0.0004481165250763297,0.0057824184,0.13811369247734548,,,,,,,,,,,,,,,,,
9,805,7.449102878570557,256000,33.3,57,0.2,,0.0459375,0.6939923167228699,,,0.044838421046733856,-0.3098471683263779,,,0.0001,,244,-0.0003510164935141802,0.004422207,0.10946916230022907,,,,,,,,,,,,,,,,,
10,803,7.406517505645752,261120,34.35,63,0.2,,0.0534765625,0.6517619490623474,,,0.02616719715297222,-0.28412198469042776,,,0.0001,,249,-0.0031770466407760978,0.0042163655,0.08372366651892663,,,,,,,,,,,,,,,,,
,,,,,,0.2,,0.0548828125,0.709028959274292,,,0.03732065483927727,-0.2961291363835335,,,0.0001,,254,-0.0011238029040396213,0.0052441442,0.09764160685241223,,,1.0,29.61,1,0.1348072968160709,0,8.698154976775246,7.666800961494446,256000,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.76,67.08,1,4.982587166222696,1,74.74833509851575,4.92884126663208,256000,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,256000,0.24,0.76,0.792,1.0,1.0,0,1.0
1,1382,7.483851909637451,266240,33.94,3,,0.0010000000000000009,,,1,0.0001,,,200,3,,256000,,,,,5,1,,,,,,,,,,,,,,,
2,987,7.566449165344238,271360,31.67,10,0.2,,0.0586328125,0.6881641149520874,,,0.04565674066543579,-0.2894885949790478,,,0.0001,,259,-0.001418484910391271,0.004185601,0.09978962883353233,,,,,,,,,,,,,,,,,
3,917,7.621682167053223,276480,30.68,16,0.2,,0.044609375,0.72365403175354,,,0.01619965396821499,-0.2732715427875519,,,0.0001,,264,-0.0013993720430880785,0.0047158627,0.07525132581591606,,,,,,,,,,,,,,,,,
4,870,7.529181480407715,281600,33.08,23,0.2,,0.0478515625,0.688848614692688,,,0.04969484731554985,-0.2540297515690327,,,0.0001,,269,-0.0008404448442161083,0.0045444714,0.08892026260495185,,,,,,,,,,,,,,,,,
5,852,7.667022705078125,286720,29.88,30,0.2,,0.0637890625,0.6700576543807983,,,0.027434932067990303,-0.24652213498950004,,,0.0001,,274,-0.0034794695302844047,0.0055992594,0.07393866464495659,,,,,,,,,,,,,,,,,
