time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss
974,8,194560,42,0.2,0.0001,-0.006192725494038313,0.08009777963161469,0.8076501488685608,370,0.008217462,0.19522053070366382,0.0951953125,-0.3620095394551754
968,9,199680,47,0.2,0.0001,-0.0077204546518623825,0.06255804002285004,0.8438329696655273,380,0.0071755075,0.1781840696185827,0.0801171875,-0.3551218242943287
967,10,204800,52,0.2,0.0001,-0.008785209346096962,0.0850508064031601,0.7329871654510498,390,0.008843578,0.23211196951568128,0.0878125,-0.3457912389934063
2172,1,209920,2,0.2,0.0001,-0.004692168533802032,0.07862914353609085,0.5643850564956665,400,0.012578134,0.16008357256650924,0.0835546875,-0.32018294766545297
1291,2,215040,7,0.2,0.0001,-0.0037017932068556547,0.07753126323223114,0.6534879207611084,410,0.0052729645,0.14556780863553287,0.06720703125,-0.32824158430099487
1161,3,220160,13,0.2,0.0001,-0.005135537118185311,0.0630020946264267,0.7975966930389404,420,0.006988678,0.15996303901076317,0.0860546875,-0.3404016368091106
1109,4,225280,18,0.2,0.0001,-0.008177469379734247,0.07801832258701324,0.8234404921531677,430,0.008677225,0.24283400267362595,0.09205078125,-0.38415111154317855
1076,5,230400,23,0.2,0.0001,-0.004620895917760208,0.10477252304553986,0.583890438079834,440,0.005325985,0.20341146618127823,0.07234375,-0.2823143593966961
1064,6,235520,28,0.2,0.0001,-0.005463508756365627,0.05699332430958748,0.7192087173461914,450,0.0062317075,0.14201940260827542,0.07078125,-0.28300257310271265
1061,7,240640,33,0.2,0.0001,-0.005486017423681915,0.038050051778554916,0.559578537940979,460,0.0054047485,0.1418536727502942,0.06041015625,-0.2484125190973282
1060,8,245760,38,0.2,0.0001,-0.0028900858387351036,0.05306560546159744,0.637779951095581,470,0.0062632174,0.11998406704515219,0.0587890625,-0.25018776960670946
1055,9,250880,43,0.2,0.0001,-0.0032150961505249143,0.05157352238893509,0.8059918284416199,480,0.007291267,0.1474514777958393,0.0660546875,-0.29757795795798303
1048,10,256000,48,0.2,0.0001,-0.003907606117427349,0.048565808683633804,0.8669167757034302,490,0.009455434,0.14995061192661524,0.0865625,-0.33347333043813704
2203,1,261120,2,0.2,0.0001,-0.004980626984033734,0.08411066234111786,0.7584642767906189,500,0.005740739,0.2098343725502491,0.0691796875,-0.27360339716076854
1345,2,266240,7,0.2,0.0001,-0.007452787545043975,0.08252808451652527,0.7303183078765869,510,0.007237521,0.21150928445160389,0.0693359375,-0.2608215748518705
1199,3,271360,12,0.2,0.0001,-0.006098733937833458,0.05124496668577194,0.7734570503234863,520,0.006013903,0.09146627010777593,0.05708984375,-0.21464010059833527
1120,4,276480,18,0.2,0.0001,-0.004003755361773074,0.03167536482214928,0.7771053910255432,530,0.0042345733,0.09511913929134608,0.0599609375,-0.2296112325042486
1102,5,281600,23,0.2,0.0001,-0.0049614127655513585,0.05182810127735138,0.7998288869857788,540,0.0061444147,0.13437930453568697,0.06740234375,-0.2493963534384966
1071,6,286720,28,0.2,0.0001,-0.004120101416483521,0.03695327043533325,0.6973413228988647,550,0.0070794895,0.1353143659606576,0.0659375,-0.23146812833845615
1055,7,291840,33,0.2,0.0001,-0.006550035350956023,0.04395219311118126,0.7458464503288269,560,0.007684222,0.11962611444294452,0.05837890625,-0.224894505366683
1046,8,296960,39,0.2,0.0001,-0.004540090882219374,0.049577660858631134,0.754349946975708,570,0.0073796525,0.13696218404918908,0.0636328125,-0.24547254152595996
1031,9,302080,44,0.2,0.0001,-0.00350621530553326,0.05669434741139412,0.7233105897903442,580,0.0049635875,0.1263650583103299,0.05080078125,-0.21034894399344922
1025,10,307200,49,0.2,0.0001,-0.005721273482777178,0.05975424498319626,0.8002356886863708,590,0.0061736265,0.11500220719724893,0.0584765625,-0.22393076337873935
1982,1,312320,2,0.2,0.0001,-0.004492307014297694,0.036178477108478546,0.6343770027160645,600,0.008168529,0.05039812028408051,0.048359375,-0.14824615463614463
1269,2,317440,8,0.2,0.0001,-0.005230082115158439,0.012125879526138306,0.5995720624923706,610,0.0065853395,0.06322601610794663,0.0517578125,-0.16694888062775134
1153,3,322560,13,0.2,0.0001,-0.0033517285250127316,0.045110538601875305,0.7057210206985474,620,0.008898374,0.08056907819584012,0.05236328125,-0.18180276066064835
1109,4,327680,18,0.2,0.0001,-0.002996153854764998,0.03267482668161392,0.7597411870956421,630,0.005705166,0.09637770598754286,0.068359375,-0.25524537354707716
1086,5,332800,23,0.2,0.0001,-0.002205619758460671,0.04217126592993736,0.7193771004676819,640,0.006475414,0.09593066040426493,0.0573046875,-0.18457242324948311
1061,6,337920,28,0.2,0.0001,-0.0055351823358796536,0.02509019896388054,0.8022657036781311,650,0.006835026,0.0850161655806005,0.05794921875,-0.20657431796193124
1055,7,343040,33,0.2,0.0001,-0.006401108535937965,0.03488366678357124,0.860207736492157,660,0.0045730127,0.09089356465265155,0.0484765625,-0.19713239908218383
1047,8,348160,39,0.2,0.0001,-0.004784315298311412,0.05427093431353569,0.8154703378677368,670,0.006678857,0.08570100326091051,0.04982421875,-0.184483425617218
1034,9,353280,44,0.2,0.0001,-0.005511070371139795,0.014282730408012867,0.8685761094093323,680,0.006077513,0.07504106340929866,0.0569140625,-0.20144446238875388
1024,10,358400,49,0.2,0.0001,-0.004205596044193953,0.05112653970718384,0.7752882242202759,690,0.0072501926,0.11579464122653008,0.06333984375,-0.21758232325315474
