cbp/utility_mean,time/time_elapsed,time/total_timesteps,cbp/target_count,cbp/rollout_replacements,time/iterations,cbp/total_replacements,rollout/ep_rew_mean,rollout/ep_len_mean,cbp/last_replacements,time/fps,train/n_updates,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,curriculum/grid_size,curriculum/stage,curriculum/preferred_eval_mode,curriculum/max_steps,curriculum/obs_quantity,train/ent_coef,curriculum/stage_timesteps,train/stage_learning_rate,plasticity/weight_max_abs,plasticity/weight_rms,plasticity/effective_rank_99_mean,plasticity/low_weight_units,plasticity/low_weight_unit_ratio,plasticity/effective_rank_99_normalized_mean,plasticity/total_weight_units,plasticity/weight_abs_mean,eval/mean_ep_length,eval/stage_timesteps,eval/deterministic,eval/std_reward,eval/mean_reward,eval/std_ep_length,eval/stage,eval/full_coverage_rate,eval/promotion_full_coverage_rate,eval/promotion_max_mean_length,eval/quality_promotion_passed,eval/deterministic_quality_passed,eval/mode_gap,eval/stochastic_full_coverage_rate,eval/deterministic_promotion_floor,eval/promotion_min_mean_reward,eval/coverage_promotion_passed,eval/diagnostic_full_coverage_rate,eval/stochastic_quality_passed,eval/deterministic_full_coverage_rate,eval/promotion_passed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.54,204800,1,3.7158703952566037,1.0335127112083138,73.57165486789053,1,0.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204800,,,,,1,,0.79,45.0,0,0,0.54,0.79,0.0,6.0,0,0.79,0,0.25,0
0.27749359607696533,2,230400,6,6,1,66,-0.6815735697746277,120.92,6,1811,,,,,,,,,,,5,1,1,200,3,0.0010000000000000009,204800,7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.27749359607696533,46,235520,6,0,2,66,-1.0626444816589355,115.28,0,221,360,7e-05,0.41792798042297363,0.08,2.697347402572632,0.002144936,-1.0592407820746303,1.7694530189211946,0.00014400679647224023,0.2170166015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.27749359607696533,96,240640,6,0,3,66,-0.2419869601726532,103.73,0,159,368,7e-05,0.38528746366500854,0.08,0.1262642741203308,0.0017604626,-1.0505214262753726,2.371537862671539,-0.0009244758664863184,0.155126953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2636828323205312,140,245760,6,6,4,72,0.18977996706962585,101.03,6,145,376,7e-05,0.4023664593696594,0.08,1.5596890449523926,0.0024940928,-1.0474219368770719,3.4391663468210028,0.0008910375967388972,0.1816650390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2636828323205312,186,250880,6,0,5,72,-0.3923921287059784,114.75,0,137,384,7e-05,0.4838528037071228,0.08,1.6995140314102173,0.0023552272,-1.0593950103968381,2.986225275188917,1.0525938705541193e-05,0.183837890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2636828323205312,,,6,,,72,,,0,,392,7e-05,0.5878541469573975,0.08,0.1399405151605606,0.0022235722,-1.0579328637570142,2.0950652614759746,-0.000726085263886489,0.160009765625,,,,,,,,,1.057259202003479,0.021171387683902667,125.41666666666667,23,0.011948051948051949,0.9095052083333334,1925,0.008842881740029947,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.28,230400,0,5.5406150199432,-0.1101783515093848,64.45712993920844,1,0.74,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.52,230400,1,3.8975243399743573,2.3126450343430043,82.41037313348362,1,0.38,,,,,,,,,,,,,
