time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,curriculum/stage_timesteps,train/approx_kl,curriculum/obs_quantity,curriculum/grid_size,train/entropy_loss,train/value_loss,curriculum/stage,curriculum/max_steps,train/policy_gradient_loss,train/ent_coef,train/loss,train/learning_rate,eval/mean_ep_length,eval/std_reward,eval/full_coverage_rate,eval/mean_reward,eval/deterministic,eval/stage,eval/stage_timesteps,eval/std_ep_length
1521,20,264.31,609280,6.088940620422363,6,0.3415536880493164,590,0.2,0.0763671875,,0.007210779,,,-0.3297708061337471,0.5442809149622917,,,-0.0018928155163303018,,0.2595781087875366,0.0001,,,,,,,,
1506,23,260.24,614400,6.138068675994873,7,0.33392906188964844,595,0.2,0.060625,,0.004498995,,,-0.30857753157615664,0.6467122927308082,,,-0.0008635713066905737,,0.22205665707588196,0.0001,,,,,,,,
1494,27,259.76,619520,6.015988826751709,8,0.4632350206375122,600,0.2,0.053359375,,0.0056444304,,,-0.3049327090382576,0.527588053047657,,,-0.0020128352055326106,,0.18679867684841156,0.0001,,,,,,,,
1485,31,249.59,624640,6.302221298217773,9,0.5576050281524658,605,0.2,0.062265625,,0.0054993825,,,-0.29376267045736315,0.5207158523797989,,,0.0007767631765455007,,0.1859244406223297,0.0001,,,,,,,,
1479,34,251.31,629760,6.186080455780029,10,0.5059722661972046,610,0.2,0.0581640625,,0.00724491,,,-0.27147175669670104,0.6540868335962295,,,-0.0016536151105538011,,0.2790324091911316,0.0001,,,,,,,,
2286,2,249.38,634880,6.2978644371032715,1,0.549614667892456,615,0.2,0.059296875,102400,0.0076087588,15,11,-0.27746554762125014,0.5015350508689881,3,440,-0.0006012597121298313,0.008344,0.3367860019207001,0.0001,,,,,,,,
1709,5,251.18,640000,6.27473258972168,2,0.5688685178756714,620,0.2,0.0599609375,,0.0051148166,,,-0.27983802765607835,0.6265337982773781,,,-0.0004369159904308617,,0.2797849178314209,0.0001,,,,,,,,
1576,9,247.26,645120,6.416896820068359,3,0.48940950632095337,625,0.2,0.0574609375,,0.0065723346,,,-0.28238852486014365,0.7262749627232552,,,-0.001841527968645096,,0.31495022773742676,0.0001,,,,,,,,
1515,13,239.6,650240,6.652790069580078,4,0.443752646446228,630,0.2,0.0573828125,,0.0043293703,,,-0.30915840417146684,0.7738644430041313,,,-0.0006822676677256822,,0.500731885433197,0.0001,,,,,,,,
1477,17,240.21,655360,6.733774185180664,5,0.5179507732391357,635,0.2,0.0616015625,,0.0069516646,,,-0.29855789482593537,0.688722596168518,,,-0.00024259177967905998,,0.31913772225379944,0.0001,,,,,,,,
1453,21,235.67,660480,6.872577667236328,6,0.31057095527648926,640,0.2,0.0830859375,,0.0088072345,,,-0.3144939136505127,0.6128214615583419,,,-0.0014847971312701702,,0.26036709547042847,0.0001,,,,,,,,
1432,25,238.38,665600,6.811549186706543,7,0.3973144292831421,645,0.2,0.0616796875,,0.00842561,,,-0.3101231276988983,0.5264118114113807,,,-0.0022197151044383643,,0.21983858942985535,0.0001,,,,,,,,
1419,28,243.48,670720,6.6095781326293945,8,0.38116490840911865,650,0.2,0.0580859375,,0.0074375733,,,-0.30157152712345126,0.4801535367965698,,,-0.0013369964808225632,,0.24769194424152374,0.0001,,,,,,,,
1419,32,241.48,675840,6.605412006378174,9,0.4103848338127136,655,0.2,0.05046875,,0.0053774314,,,-0.30982857376337053,0.44142715245485303,,,-0.0013037913828156888,,0.22311100363731384,0.0001,,,,,,,,
1417,36,240.78,680960,6.579155445098877,10,0.5465792417526245,660,0.2,0.0685546875,,0.006712901,,,-0.30391034692525865,0.4522402808070183,,,-0.003181355595588684,,0.25403472781181335,0.0001,,,,,,,,
2234,2,234.54,686080,6.675136089324951,1,0.4491962790489197,665,0.2,0.0722265625,153600,0.010173714,15,11,-0.3346153399348259,0.5233130893111229,3,440,-0.0018698456604033708,0.005016,0.2599015235900879,0.0001,,,,,,,,
1648,6,244.02,691200,6.5160346031188965,2,0.5427045822143555,670,0.2,0.07234375,,0.007820523,,,-0.32182126998901367,0.5069269561767578,,,-0.0023243220802396537,,0.22422681748867035,0.0001,,,,,,,,
1514,10,241.13,696320,6.527792453765869,3,0.4960121512413025,675,0.2,0.0761328125,,0.0107855415,,,-0.3377161955833435,0.4571228489279747,,,-0.001370531115680933,,0.1863044649362564,0.0001,,,,,,,,
1446,14,240.56,701440,6.534252166748047,4,0.47612977027893066,680,0.2,0.053515625,,0.005552447,,,-0.2965823931992054,0.5882160344719887,,,-0.0022818860271945594,,0.3463997542858124,0.0001,,,,,,,,
1412,18,246.38,706560,6.376972675323486,5,0.4998684525489807,685,0.2,0.0688671875,,0.0069330195,,,-0.29184125155210494,0.5591595327854156,,,-0.002395231230184436,,0.25690194964408875,0.0001,,,,,,,,
