time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate
491520,28,1064,6,0.6051031947135925,0.0567578125,-0.30496572479605677,0.2,0.00734591,950,0.2295373999327421,-0.006135368479881435,0.08120811730623245,0.0001
496640,34,1053,7,0.8075710535049438,0.077421875,-0.40942572116851805,0.2,0.008489155,960,0.17546527408063411,-0.003777876722160727,0.07394157350063324,0.0001
501760,39,1041,8,0.7673265933990479,0.07068359375,-0.38822674602270124,0.2,0.008123309,970,0.23705539129674436,-0.005959719081874937,0.09370419383049011,0.0001
506880,44,1030,9,0.7216274738311768,0.0773828125,-0.37667385280132293,0.2,0.0059667425,980,0.3044569207727909,-0.008237567581236362,0.1350637823343277,0.0001
512000,49,1025,10,0.757247805595398,0.05884765625,-0.3083083624392748,0.2,0.004893427,990,0.2370458187162876,-0.00551427154103294,0.09828099608421326,0.0001
517120,2,1966,1,0.7305086851119995,0.06607421875,-0.28853190042078497,0.2,0.0071667954,1000,0.269125666692853,-0.0050801201001740995,0.09944752603769302,0.0001
522240,8,1274,2,0.6726275682449341,0.052890625,-0.23160684369504453,0.2,0.0052327663,1010,0.20949303433299066,-0.005635982442181557,0.06258580088615417,0.0001
527360,13,1145,3,0.7119325399398804,0.06640625,-0.28531650319695473,0.2,0.010770554,1020,0.2108263971656561,-0.002384024008642882,0.10972660779953003,0.0001
532480,18,1093,4,0.8378114700317383,0.0671484375,-0.2818406445533037,0.2,0.0070868535,1030,0.16896884854882954,-0.00215272770030424,0.06900225579738617,0.0001
537600,23,1074,5,0.84282386302948,0.0696484375,-0.34794442445039747,0.2,0.0070185484,1040,0.24600978262722492,-0.005232508562039584,0.0891362726688385,0.0001
542720,29,1049,6,0.8245081901550293,0.05302734375,-0.26924304507672786,0.2,0.005503013,1050,0.2363611315190792,-0.00456940095173195,0.08137290924787521,0.0001
547840,34,1040,7,0.700753927230835,0.05564453125,-0.20883442275226116,0.2,0.005792828,1060,0.253482741266489,-0.006778538890648634,0.10072199255228043,0.0001
552960,39,1037,8,0.7842779159545898,0.0577734375,-0.26610762313008307,0.2,0.007196039,1070,0.2754898448288441,-0.003807952357456088,0.11367226392030716,0.0001
558080,44,1036,9,0.8412446975708008,0.0562109375,-0.2905066921561956,0.2,0.006162583,1080,0.21756611160933972,-0.004526950266445055,0.09814266115427017,0.0001
563200,49,1033,10,0.6340926885604858,0.05732421875,-0.20028024390339852,0.2,0.006561014,1090,0.20911879882216453,-0.005062203381676227,0.06377056241035461,0.0001
568320,3,1395,1,0.787872314453125,0.06505859375,-0.24588986538350582,0.2,0.0090763215,1100,0.1911560669541359,-0.00679482112172991,0.07678636163473129,0.0001
573440,10,1014,2,0.7854185700416565,0.0832421875,-0.2777052256464958,0.2,0.013304405,1110,0.17781076826155184,-0.00790633755037561,0.047182220965623856,0.0001
578560,16,933,3,0.7689197659492493,0.07595703125,-0.27497602067887783,0.2,0.0077325637,1120,0.25203952863812445,-0.004587998799979687,0.14295455813407898,0.0001
583680,22,894,4,0.822368860244751,0.08158203125,-0.31272111788392065,0.2,0.0073717656,1130,0.25425449550151824,-0.006198524755891412,0.12456130236387253,0.0001
588800,29,870,5,0.6028715372085571,0.06365234375,-0.23431206077337266,0.2,0.0055024265,1140,0.2776478222757578,-0.003618103319313377,0.12423583120107651,0.0001
593920,35,858,6,0.7000868320465088,0.06404296875,-0.3139039608836174,0.2,0.0067370003,1150,0.23160728558897972,-0.0043807655991986395,0.14001022279262543,0.0001
599040,42,848,7,0.7509564161300659,0.06810546875,-0.3229653239250183,0.2,0.008803809,1160,0.22969527199864387,-0.00699623852269724,0.10854988545179367,0.0001
604160,48,846,8,0.7601877450942993,0.04552734375,-0.2568945752829313,0.2,0.0053073624,1170,0.23483955644071103,-0.0045367084722965955,0.06975576281547546,0.0001
609280,54,848,9,0.7009779214859009,0.054453125,-0.27302415907382965,0.2,0.0052931653,1180,0.3070885479450226,-0.005204698974266648,0.10654454678297043,0.0001
614400,60,848,10,0.5271987915039062,0.0529296875,-0.18136749893426896,0.2,0.0069436147,1190,0.21012890800833703,-0.0031689952523447575,0.07280989736318588,0.0001
619520,2,1811,1,0.6590862274169922,0.0580078125,-0.197231267914176,0.2,0.00748408,1200,0.17475646428763866,-0.005269687292166054,0.0648718997836113,0.0001
