time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/ent_coef,train/loss,curriculum/grid_size,train/entropy_loss,curriculum/preferred_eval_mode,curriculum/stage_timesteps,train/n_updates,curriculum/obs_quantity,curriculum/stage,train/approx_kl,train/learning_rate,train/stage_learning_rate,train/policy_gradient_loss,curriculum/max_steps,train/value_loss,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/std_reward,eval/deterministic,eval/stage,eval/std_ep_length,eval/full_coverage_rate,eval/mean_ep_length,eval/stage_timesteps,eval/promotion_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/mode_gap,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate
33,409600,31.37,9,1355,7.527937412261963,,0.016813060268759727,,-0.2098428276181221,,,395,,,0.006804692,0.0001,,-0.004774874961003661,,0.08097741831094027,0.7206281423568726,0.0559765625,0.2,,,,,,,,,,,,,
37,414720,32.76,10,1361,7.445613861083984,,0.01627957448363304,,-0.23921920329332352,,,400,,,0.009048931,0.0001,,-0.0095089729456231,,0.09438567854464054,0.7604257464408875,0.07125,0.2,,,,,,,,,,,,,
,,,,,,,0.03816039115190506,,-0.24207650005817413,,,405,,,0.0044086827,0.0001,,-0.0022853929130360485,,0.09128022622317075,0.7978976368904114,0.0532421875,0.2,7.518005502223969,1.0517826794556213,0,1,19.248612937040424,0.99,29.97,409600,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.753295269012451,2.9487005534077997,1,1,48.244311581781325,0.92,40.92,409600,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,409600,0.92,0.99,0.06999999999999995,0.92,0.99
2,419840,29.46,1,1911,7.59310245513916,0.0010000000000000009,,5,,1,409600,,3,1,,,0.0001,,200,,,,,,,,,,,,,,,,,
6,424960,29.63,2,1535,7.579221725463867,,0.0474976971745491,,-0.2253158238530159,,,410,,,0.0036129155,0.0001,,-0.0010606762440875173,,0.08137696474790573,0.7352572679519653,0.0476171875,0.2,,,,,,,,,,,,,
10,430080,30.17,3,1454,7.555210113525391,,0.027109269052743912,,-0.2115080462396145,,,415,,,0.0055955397,0.0001,,-0.006496308781206608,,0.08624117210507393,0.7861045598983765,0.0491015625,0.2,,,,,,,,,,,,,
14,435200,29.9,4,1423,7.5774431228637695,,0.033404652029275894,,-0.19763051971793175,,,420,,,0.0052736998,0.0001,,-0.0030548646673560142,,0.08458716098219156,0.7585827112197876,0.04171875,0.2,,,,,,,,,,,,,
18,440320,30.46,5,1405,7.569579601287842,,0.035078264772892,,-0.20076932698488237,,,425,,,0.0053598634,0.0001,,-0.003591790981590748,,0.06407955840229988,0.7538168430328369,0.047421875,0.2,,,,,,,,,,,,,
21,445440,30.85,6,1402,7.557642936706543,,0.018786855041980743,,-0.2089860789477825,,,430,,,0.005347972,0.0001,,-0.005096363173797727,,0.06346674714237452,0.7698637843132019,0.057578125,0.2,,,,,,,,,,,,,
25,450560,32.6,7,1393,7.353250026702881,,0.027025073766708374,,-0.21760998368263246,,,435,,,0.005394331,0.0001,,-0.002026000423356891,,0.08051058441400528,0.7682000398635864,0.0555859375,0.2,,,,,,,,,,,,,
29,455680,29.47,8,1380,7.578222751617432,,0.04012352600693703,,-0.2212562346458435,,,440,,,0.00682107,0.0001,,-0.0028623563749715685,,0.08251895610243082,0.7832350730895996,0.053671875,0.2,,,,,,,,,,,,,
33,460800,29.53,9,1368,7.581892013549805,,0.02654988318681717,,-0.19075963169336319,,,445,,,0.004971274,0.0001,,-0.0035458210622891784,,0.08338618464767933,0.7080091238021851,0.043515625,0.2,,,,,,,,,,,,,
37,465920,30.36,10,1365,7.543386936187744,,0.03708973154425621,,-0.19951545000076293,,,450,,,0.0041333274,0.0001,,-0.0026170687191188337,,0.07154723025858402,0.7571020126342773,0.05171875,0.2,,,,,,,,,,,,,
