time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/stage_learning_rate,curriculum/stage,train/ent_coef,curriculum/max_steps,curriculum/obs_quantity,curriculum/stage_timesteps,curriculum/grid_size,curriculum/preferred_eval_mode,eval/mean_reward,eval/mean_ep_length,eval/deterministic,eval/full_coverage_rate,eval/std_reward,eval/stage,eval/std_ep_length,eval/stage_timesteps,eval/deterministic_full_coverage_rate,eval/stochastic_full_coverage_rate,eval/coverage_promotion_passed,eval/promotion_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/quality_promotion_passed,eval/promotion_max_mean_length,eval/promotion_passed,eval/mode_gap,eval/stochastic_quality_passed,eval/promotion_min_mean_reward,eval/deterministic_promotion_floor,eval/deterministic_quality_passed
17,6.235602378845215,99840,149,66.34,291,0.0021951843100862624,0.2,0.013633756,7e-05,0.13822115384615385,0.08987897634506226,166,0.09827369451522827,-0.9093295060671293,0.243157850817228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6.359982490539551,102400,160,63.93,286,-0.0053098640777170655,0.2,0.010551032,7e-05,0.128671875,0.025189612060785294,171,0.3038827180862427,-0.9131319558620453,0.26429945558309553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6.606102466583252,104960,173,58.86,280,-0.009747052392922341,0.2,0.010423508,7e-05,0.121875,0.0852796658873558,176,0.376345157623291,-0.8538278347253799,0.22523583531379698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6.450494766235352,107520,176,61.51,290,0.004433375265863206,0.2,0.011970026,7e-05,0.1154513888888889,0.23651044070720673,177,0.510814368724823,-0.8394407530625662,0.26429617197977173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0030938742682337763,0.2,0.015052167,7e-05,0.11785714285714285,0.14816172420978546,179,0.5533268451690674,-0.8306766203471593,0.3600666767784527,,,,,,,,,6.688386178016662,56.6,0,0.99,1.4079540460466242,1,26.891262521495715,102400,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.7110147833824159,89.87,1,0.68,9.657600981648145,1,76.12629703328543,102400,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,102400,0.68,0.99,1,0.99,0.99,0,32.5,1,0.30999999999999994,0,6.75,0.0,0
,,,,,,,,,,,,,,,,,,,,,,,,6.533159000277519,55.52,0,0.98,2.7306559286896355,1,28.728202171385522,102400,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.0390995645523073,86.1,1,0.72,9.744756280568748,1,72.07544658203652,102400,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,102400,0.72,0.98,0,0.98,0.98,0,32.5,0,0.26,0,6.75,0.0,0
1,6.452750205993652,110080,1,61.68,2028,,,,,,,,,,,7e-05,1,0.0010000000000000009,200,3,102400,5,1,,,,,,,,,,,,,,,,,,,,,
2,6.535886287689209,112640,8,59.64,608,-0.0034092353134040246,0.2,0.012442025,7e-05,0.10992324561403509,0.12994544208049774,182,0.2952214479446411,-0.8095480067688122,0.27666319540718143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.7781081199646,115200,11,56.19,679,0.008591749306235994,0.2,0.008987978,7e-05,0.09654017857142858,0.31645700335502625,183,0.5357805490493774,-0.8030906958239419,0.23107450881174632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.750119209289551,117760,14,57.29,700,0.004574539523352595,0.2,0.012842943,7e-05,0.12867647058823528,0.190785214304924,184,0.3835256099700928,-0.8001496897024267,0.22313984658788233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.315414905548096,120320,29,61.85,433,-0.00629009348293296,0.2,0.017520102,7e-05,0.1246054292929293,0.18538209795951843,189,0.41557663679122925,-0.7691508995162116,0.32068106735294516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.126692295074463,122880,36,65.7,424,-0.0008794573950581253,0.2,0.021902636,7e-05,0.14762369791666666,0.12692227959632874,192,0.5776481628417969,-0.8209108995894591,0.3302030119424065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6.4085798263549805,125440,48,63.46,370,-0.00963913394138217,0.2,0.012362749,7e-05,0.13859375,0.15571457147598267,197,0.42478519678115845,-0.7822204512357712,0.28097483843564985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6.790362358093262,128000,61,56.6,333,-0.002147322454943489,0.2,0.015429967,7e-05,0.1438301282051282,0.2951316237449646,201,0.49226218461990356,-0.7526099842328292,0.3308218610592378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6.934350967407227,130560,65,52.94,354,0.004897965444251895,0.2,0.013991793,7e-05,0.13515625,0.24690523743629456,202,0.5028653740882874,-0.7326278388500214,0.20237957071512938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7.0214314460754395,133120,71,50.76,357,0.0008747361023865995,0.2,0.07690987,7e-05,0.13820684523809523,0.31580260396003723,205,0.5262677669525146,-0.7160584954988389,0.19059361242467449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6.81947135925293,135680,75,53.15,371,0.009300437352309624,0.2,0.024795085,7e-05,0.1421875,0.17793196439743042,207,0.39315474033355713,-0.6911476135253907,0.15918708766500156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6.801659107208252,138240,85,53.88,359,-0.0017560044823981384,0.2,0.017199313,7e-05,0.12787224264705882,0.0995829850435257,211,0.43801718950271606,-0.7122620309100431,0.2230016362360295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6.934301853179932,140800,98,53.21,337,-0.005355466427281499,0.2,0.014404322,7e-05,0.1221875,0.12094096839427948,216,0.508993923664093,-0.6798023706674576,0.22684507310390473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6.8928632736206055,143360,108,52.24,330,-0.004891109823341101,0.2,0.01815973,7e-05,0.13237235915492956,0.14980578422546387,220,0.5260977149009705,-0.640538366747574,0.1702275892693392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6.9236931800842285,145920,114,48.86,336,0.0016503826387830683,0.2,0.012585811,7e-05,0.12267736486486487,0.3153713047504425,222,0.6244253516197205,-0.6151379459613079,0.34218022005783544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7.234431743621826,148480,118,44.08,346,0.00866150064393878,0.2,0.020638619,7e-05,0.13203125,0.19577541947364807,224,0.43585532903671265,-0.5782511075337727,0.13352345203359922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7.152380466461182,151040,124,45.99,349,0.0034982246897098694,0.2,0.021372583,7e-05,0.11328125,0.1688493937253952,227,0.4612792134284973,-0.56770713085478,0.13448520936071873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7.0868401527404785,153600,128,46.0,359,0.002671273546698301,0.2,0.025409624,7e-05,0.09850543478260869,0.10443980991840363,229,0.6359509825706482,-0.5747206314750339,0.16978756565114725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7.013750076293945,156160,133,46.12,363,0.002726474018810793,0.2,0.025398785,7e-05,0.09683866279069768,0.2617235481739044,232,0.6581647396087646,-0.5509185028630633,0.20531703739665275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6.807436943054199,158720,141,48.65,362,-0.004511423263465986,0.2,0.030935293,7e-05,0.1182861328125,0.19653011858463287,236,0.7167361378669739,-0.5634973188862205,0.20641362824244425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0033647026866674423,0.2,0.016167141,7e-05,0.13692434210526316,0.28271573781967163,238,0.6331936717033386,-0.5522636324167252,0.3606155138266714,,,,,,,,,7.345062229633331,41.31,0,1.0,0.5044484383509402,1,16.942665079614837,153600,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3.4155149555206297,69.47,1,0.79,8.924000267027289,1,67.86508012225433,153600,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,153600,0.79,1.0,1,1.0,1.0,0,32.5,1,0.20999999999999996,0,6.75,0.0,0
