rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/policy_gradient_loss,curriculum/grid_size,curriculum/max_steps,train/value_loss,train/learning_rate,curriculum/obs_quantity,train/loss,curriculum/stage,curriculum/stage_timesteps,train/approx_kl,train/clip_fraction,curriculum/preferred_eval_mode,train/stage_learning_rate,train/n_updates,train/ent_coef,train/clip_range,train/entropy_loss,train/explained_variance,eval/stage,eval/mean_reward,eval/stage_timesteps,eval/mean_ep_length,eval/std_ep_length,eval/full_coverage_rate,eval/deterministic,eval/std_reward,eval/deterministic_full_coverage_rate,eval/diagnostic_full_coverage_rate,eval/mode_gap,eval/stochastic_full_coverage_rate,eval/promotion_full_coverage_rate
29.01,235520,28,7.620233058929443,889,5,-0.002663019353058189,,,0.07252629566937685,0.0001,,0.03994561731815338,,,0.004106689,0.0602734375,,,225,,0.2,-0.2308994461596012,0.7000710368156433,,,,,,,,,,,,,
29.02,240640,34,7.611033916473389,880,6,-0.0016725424770265818,,,0.06846958283334971,0.0001,,0.020341657102108,,,0.005735377,0.0466796875,,,230,,0.2,-0.21805978417396546,0.6985442638397217,,,,,,,,,,,,,
31.92,245760,41,7.4849090576171875,869,7,-0.0012349277595058083,,,0.056566112600266935,0.0001,,0.014444736763834953,,,0.0044297026,0.048671875,,,235,,0.2,-0.20504498481750488,0.7008065581321716,,,,,,,,,,,,,
29.8,250880,47,7.599432468414307,862,8,-0.0016990599455311895,,,0.062382258288562295,0.0001,,0.04174814745783806,,,0.005121535,0.04484375,,,240,,0.2,-0.2176706872880459,0.7607916593551636,,,,,,,,,,,,,
32.13,256000,53,7.473323822021484,857,9,-0.000952468435280025,,,0.0471798725053668,0.0001,,0.026504144072532654,,,0.008112942,0.045234375,,,245,,0.2,-0.1949123850464821,0.6376941800117493,,,,,,,,,,,,,
30.44,261120,60,7.583204746246338,853,10,-0.00303592040669173,,,0.07408148180693389,0.0001,,0.045455384999513626,,,0.00799544,0.0530078125,,,250,,0.2,-0.2325532865524292,0.6587715148925781,,,,,,,,,,,,,
,,,,,,-0.006124205044470727,,,0.05882451318204403,0.0001,,0.019500741735100746,,,0.007356635,0.0650390625,,,255,,0.2,-0.21445764854550362,0.6955229043960571,1,7.624664597511291,256000,28.41,8.741962022338006,1.0,0,0.21039669649510337,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,6.629971499443054,256000,41.35,50.0052747217731,0.91,1,3.322357377307403,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,,256000,,,,,,0.91,1.0,0.08999999999999997,1.0,0.91
30.07,266240,3,7.584471225738525,1556,1,,5,200,,,3,,1,256000,,,1,0.0001,,0.0010000000000000009,,,,,,,,,,,,,,,,
