time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
24,486400,5,1039,-0.31435015574097636,0.1893178118765354,0.2,0.010014121,0.09468043595552444,940,0.4936155080795288,0.0001,0.08900390625,-0.005650694901123643
29,491520,6,1025,-0.28586121670901776,0.20324776861816646,0.2,0.011920578,0.06695330888032913,950,0.23743462562561035,0.0001,0.10357421875,-0.008078364292159676
35,496640,7,1014,-0.28957890674471853,0.21686726827174424,0.2,0.008446375,0.06611789017915726,960,0.3533189296722412,0.0001,0.08265625,-0.004562293877825141
40,501760,8,1010,-0.2660758412629366,0.19920171465724706,0.2,0.009173477,0.0729551613330841,970,0.3048142194747925,0.0001,0.086875,-0.004757737934123724
45,506880,9,1007,-0.3045675140619278,0.19586784310638905,0.2,0.009987952,0.09432603418827057,980,0.37495648860931396,0.0001,0.080234375,-0.0046495374687947335
50,512000,10,1004,-0.3039433605968952,0.144689735583961,0.2,0.01155052,0.07826852053403854,990,0.33232319355010986,0.0001,0.0804296875,-0.005738688516430557
2,517120,1,2002,-0.32178270727396013,0.18469473116099835,0.2,0.010462539,0.0398477241396904,1000,0.3712814450263977,0.0001,0.08646484375,-0.005683738077059388
8,522240,2,1230,-0.2320051372051239,0.21603755429387092,0.2,0.00834691,0.10037217289209366,1010,0.3612673878669739,0.0001,0.068828125,-0.005122998331207782
13,527360,3,1144,-0.33926052272319795,0.19047237537801265,0.2,0.009041654,0.08616884052753448,1020,0.5312423706054688,0.0001,0.08697265625,-0.003222190279047936
18,532480,4,1104,-0.25568296618759634,0.19480039719492198,0.2,0.015211125,0.10169322043657303,1030,0.3343169689178467,0.0001,0.08279296875,-0.007285682663787156
23,537600,5,1073,-0.24620600998401643,0.19940295252949,0.2,0.009690033,0.07353054732084274,1040,0.4060105085372925,0.0001,0.0655859375,-0.005441072606481611
28,542720,6,1059,-0.2802588203549385,0.18761226695030928,0.2,0.008158607,0.08814708888530731,1050,0.5396578907966614,0.0001,0.06595703125,-0.0041513072373345495
34,547840,7,1045,-0.26009655237197876,0.2475952609628439,0.2,0.008205602,0.10869387537240982,1060,0.5228782892227173,0.0001,0.0666015625,-0.005142040415666998
39,552960,8,1032,-0.3106470812857151,0.23023380033671856,0.2,0.00975779,0.0734037458896637,1070,0.6074796319007874,0.0001,0.075703125,-0.003637879390735179
44,558080,9,1028,-0.2708913597464562,0.24345081485807896,0.2,0.011651987,0.1358552873134613,1080,0.6419090032577515,0.0001,0.08708984375,-0.0024982569785788654
50,563200,10,1012,-0.23357292719185352,0.21290568880736827,0.2,0.00659137,0.08550448715686798,1090,0.6246037483215332,0.0001,0.06294921875,-0.0023961597587913276
2,568320,1,2188,-0.2658798409253359,0.22903827272355556,0.2,0.010786096,0.08467376977205276,1100,0.7271336317062378,0.0001,0.0733203125,-0.005847648289054632
7,573440,2,1347,-0.2714872366935015,0.2173512025550008,0.2,0.008865771,0.06409556418657303,1110,0.7690637707710266,0.0001,0.066328125,-0.004036259124986828
12,578560,3,1220,-0.2319362136721611,0.23993693944066763,0.2,0.0075888284,0.11202886700630188,1120,0.7553190588951111,0.0001,0.0577734375,-0.005168122434988618
18,583680,4,1123,-0.26803981490433215,0.3293842786550522,0.2,0.0077083656,0.16226671636104584,1130,0.6938097476959229,0.0001,0.06642578125,-0.0025685921078547834
23,588800,5,1092,-0.21474318273365497,0.2801051130145788,0.2,0.009128498,0.14344874024391174,1140,0.7291324138641357,0.0001,0.0589453125,-0.0037138621346093715
28,593920,6,1069,-0.25618067048490045,0.3623316063731909,0.2,0.0087755015,0.19016367197036743,1150,0.7077938318252563,0.0001,0.070234375,-0.004789108119439334
33,599040,7,1061,-0.28594770342111586,0.2945734342932701,0.2,0.008027914,0.1992030292749405,1160,0.7609081268310547,0.0001,0.06369140625,-0.0036008185613900425
39,604160,8,1043,-0.21324624352157115,0.3390486603230238,0.2,0.009344934,0.1332116425037384,1170,0.5501198768615723,0.0001,0.0707421875,-0.0047639755974523725
44,609280,9,1033,-0.2530139156892979,0.3819705708233338,0.2,0.010920563,0.1564459353685379,1179,0.47682809829711914,0.0001,0.06950506284916201,-0.0052252404714346595
49,614400,10,1029,-0.31242650002241135,0.23547944508492946,0.2,0.00895441,0.1277267187833786,1189,0.6142797470092773,0.0001,0.07724609375,-0.006155192372389138
2,619520,1,2140,-0.2755634944140911,0.2990599334985018,0.2,0.012789508,0.1290004402399063,1199,0.47388553619384766,0.0001,0.0750390625,-0.00493502031895332
7,624640,2,1349,-0.26625091433525083,0.2901503886282444,0.2,0.011652842,0.13215209543704987,1209,0.499944269657135,0.0001,0.0765234375,-0.004954724465496838
12,629760,3,1214,-0.24216949321329595,0.276698721498251,0.2,0.008166329,0.09543535113334656,1219,0.5393168926239014,0.0001,0.07375,-0.005118836935143918
18,634880,4,1135,-0.3056345983594656,0.27471736669540403,0.2,0.010098571,0.16671627759933472,1229,0.444458544254303,0.0001,0.0807421875,-0.005587936951778829
23,640000,5,1099,-0.27362769849598406,0.2071784060075879,0.2,0.009934487,0.06577050685882568,1239,0.48681408166885376,0.0001,0.084921875,-0.006995802719611675
28,645120,6,1078,-0.24839000701904296,0.29362571842968466,0.2,0.0123524275,0.11953973025083542,1249,0.20003682374954224,0.0001,0.07265625,-0.0030222840467467905
34,650240,7,1052,-0.31782925739884377,0.26255434393882754,0.2,0.011290579,0.13601206243038177,1259,0.3505132794380188,0.0001,0.075625,-0.006439021211117506
39,655360,8,1038,-0.29169857256114484,0.25115400217473505,0.2,0.009290368,0.1003049984574318,1269,0.4100435972213745,0.0001,0.083125,-0.005995357702486217
44,660480,9,1030,-0.27174332067370416,0.2816599730402231,0.2,0.010357967,0.1222601905465126,1279,0.482512891292572,0.0001,0.0706640625,-0.006000211532227695
