time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/explained_variance,train/loss,train/clip_range,train/n_updates,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
230000,,,,0.5959992408752441,-0.03242800384759903,0.2,560,0.017486788,0.10173125511500984,-0.018318938757875002,0.15576171875,0.0003,-0.5807325098663568,45.02599901795387,31.38
233472,139,1668,57,,,,,,,,,,,,
237568,140,1693,58,0.5201252698898315,-0.021456904709339142,0.2,570,0.02179711,0.05005090541671962,-0.01936104578198865,0.163671875,0.0003,-0.5694496262818575,,
240000,,,,0.5829566717147827,-0.023996178060770035,0.2,580,0.018960714,0.08656210156623274,-0.0236151646473445,0.1698974609375,0.0003,-0.584229739755392,39.08490803003311,38.64
241664,139,1726,59,,,,,,,,,,,,
245760,140,1751,60,0.5809568166732788,-0.02826114371418953,0.2,590,0.01942606,0.08989701718091965,-0.019668326660757886,0.153271484375,0.0003,-0.5802478641271591,,
249856,140,1776,61,0.6209592819213867,-0.014406271278858185,0.2,600,0.020049023,0.07733750308398157,-0.019770985119976103,0.1564697265625,0.0003,-0.5733213536441326,,
250000,,,,0.5599110126495361,-0.00954052060842514,0.2,610,0.020991117,0.08017973862588405,-0.021781846627709454,0.1786865234375,0.0003,-0.5749258492141962,39.17799892663956,39.04
253952,140,1809,62,,,,,,,,,,,,
258048,140,1834,63,0.5373724699020386,-0.015589628368616104,0.2,620,0.01885768,0.08905376663897187,-0.020606135224807077,0.1830322265625,0.0003,-0.5826855897903442,,
260000,,,,0.41881895065307617,-0.0184924378991127,0.2,630,0.02194556,0.06658462439663708,-0.023429049336118623,0.1705810546875,0.0003,-0.5573104910552502,40.89799894690513,37.34
262144,140,1866,64,,,,,,,,,,,,
266240,140,1891,65,0.48866623640060425,-0.038756363093853,0.2,640,0.020420974,0.042215745511930435,-0.018072353446041235,0.1777099609375,0.0003,-0.5070648455992341,,
270000,,,,0.5748602151870728,-0.026827175170183182,0.2,650,0.019686759,0.06283417292870581,-0.024188752003828994,0.1724853515625,0.0003,-0.5086173273622989,45.03399903297424,30.12
270336,140,1922,66,,,,,,,,,,,,
274432,140,1948,67,0.561226487159729,-0.022132672369480133,0.2,660,0.016130587,0.0781981918727979,-0.01819567533384543,0.14970703125,0.0003,-0.4837494926527143,,
278528,141,1973,68,0.6070922613143921,-0.017993103712797165,0.2,670,0.016323648,0.06545027899555862,-0.018055151755106635,0.1461181640625,0.0003,-0.45940274130553005,,
280000,,,,0.6461904048919678,0.0078010596334934235,0.2,680,0.01803621,0.0820895203622058,-0.016391806438332424,0.152099609375,0.0003,-0.4880831191316247,45.28399903774262,29.72
282624,141,2003,69,,,,,,,,,,,,
286720,141,2028,70,0.5458612442016602,-0.007099226117134094,0.2,690,0.016648881,0.08195629313122481,-0.019233679393073543,0.150341796875,0.0003,-0.5010198021307588,,
290000,,,,0.45730143785476685,-0.011487480252981186,0.2,700,0.017568912,0.08814934531692416,-0.023411267761548515,0.1609375,0.0003,-0.49675051737576725,45.17199903130531,30.26
290816,141,2059,71,,,,,,,,,,,,
294912,141,2085,72,0.6025404930114746,-0.02244153618812561,0.2,710,0.016702183,0.09202123938594013,-0.018197141098789872,0.1519287109375,0.0003,-0.48283148314803837,,
299008,141,2111,73,0.5563665628433228,-0.029121123254299164,0.2,720,0.018577555,0.06567178966943174,-0.02033896461070981,0.1479736328125,0.0003,-0.48332637790590527,,
300000,,,,0.6395605802536011,-0.021113859489560127,0.2,730,0.020282421,0.05333604557672515,-0.016768987092655153,0.155615234375,0.0003,-0.4924581186845899,41.9219989657402,35.76
303104,141,2143,74,,,,,,,,,,,,
307200,141,2169,75,0.6092835664749146,-0.009981457144021988,0.2,740,0.01547822,0.1187920613680035,-0.02204780218016822,0.1582763671875,0.0003,-0.5558519430458546,,
310000,,,,0.5808706283569336,-0.016666073352098465,0.2,750,0.016014513,0.07462254585698247,-0.021923819632502273,0.1539794921875,0.0003,-0.5016920167952776,45.87799903869629,29.64
311296,141,2200,76,,,,,,,,,,,,
315392,141,2226,77,0.520236611366272,-0.016543162986636162,0.2,760,0.018139137,0.07470977955963462,-0.0237040646650712,0.159130859375,0.0003,-0.5046124706044793,,
319488,141,2251,78,0.7246224880218506,-0.005820535123348236,0.2,770,0.021057408,0.07619597434531897,-0.016454354743473232,0.1598876953125,0.0003,-0.5087757986038923,,
320000,,,,0.5695194005966187,-0.040074072778224945,0.2,780,0.020007685,0.03861917244503275,-0.021820526180090383,0.1624755859375,0.0003,-0.4881963308900595,44.14799900770188,32.24
323584,141,2283,79,,,,,,,,,,,,
327680,141,2309,80,0.5621342658996582,-0.043279580771923065,0.2,790,0.019765992,0.06324722510762512,-0.01906696565420134,0.152392578125,0.0003,-0.4939058804884553,,
